"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201516","total","Local authority","North East","North Tyneside","0.06","2.37","1.52","North Tyneside"
"201516","total","Local authority","North East","South Tyneside","0.11","1.6","1.07","South Tyneside"
"201516","total","Local authority","North East","Sunderland","0.08","2.74","1.58","Sunderland"
"201516","total","Local authority","South West","Isles Of Scilly","0","0","0","Isles Of Scilly"
"201516","total","Local authority","South West","Bath and North East Somerset","0.07","5.49","2.43","Bath and North East Somerset"
"201516","total","Local authority","South West","Bristol City of","0.12","7.31","3.3","Bristol City of"
"201516","total","Local authority","South West","North Somerset","0.12","3.73","1.87","North Somerset"
"201516","total","Local authority","South West","South Gloucestershire","0.13","5.14","2.2","South Gloucestershire"
"201516","total","Local authority","North East","Hartlepool","0.08","5.37","2.3","Hartlepool"
"201516","total","Local authority","North East","Middlesbrough","0.15","21.42","4.55","Middlesbrough"
"201516","total","Local authority","North East","Redcar and Cleveland","x","12.2","3.16","Redcar and Cleveland"
"201516","total","Local authority","North East","Stockton-on-Tees","0.06","3.14","1.72","Stockton-on-Tees"
"201516","total","Local authority","Yorkshire and the Humber","Kingston upon Hull City of","0.08","2.88","1.6","Kingston upon Hull City of"
"201516","total","Local authority","Yorkshire and the Humber","East Riding of Yorkshire","0.05","3.21","1.52","East Riding of Yorkshire"
"201516","total","Local authority","Yorkshire and the Humber","North East Lincolnshire","0.24","6.87","3.15","North East Lincolnshire"
"201516","total","Local authority","Yorkshire and the Humber","North Lincolnshire","0.1","9.04","3.02","North Lincolnshire"
"201516","total","Local authority","Yorkshire and the Humber","North Yorkshire","0.08","3.99","1.79","North Yorkshire"
"201516","total","Local authority","Yorkshire and the Humber","York","x","3.17","1.7","York"
"201516","total","Local authority","East of England","Luton","0.07","4.02","2.34","Luton"
"201516","total","Local authority","East of England","Bedford","0.18","3.22","1.95","Bedford"
"201516","total","Local authority","East of England","Central Bedfordshire","0.06","3.8","1.95","Central Bedfordshire"
"201516","total","Local authority","South East","Buckinghamshire","0.14","3.26","1.63","Buckinghamshire"
"201516","total","Local authority","South East","Milton Keynes","0.05","4.5","2.15","Milton Keynes"
"201516","total","Local authority","East Midlands","Derbyshire","0.1","3.9","1.88","Derbyshire"
"201516","total","Local authority","East Midlands","Derby","0.1","5.12","2.55","Derby"
"201516","total","Local authority","South West","Dorset","0.03","3.96","2.08","Dorset"
"201516","total","Local authority","South West","Poole","0.11","4.56","2.03","Poole"
"201516","total","Local authority","South West","Bournemouth","0.14","6","2.69","Bournemouth"
"201516","total","Local authority","North East","Durham","0.08","4.37","2.11","Durham"
"201516","total","Local authority","North East","Darlington","0","4.19","2.24","Darlington"
"201516","total","Local authority","South East","East Sussex","0.14","5.82","2.33","East Sussex"
"201516","total","Local authority","South East","Brighton and Hove","0.03","4.93","2.25","Brighton and Hove"
"201516","total","Local authority","South East","Hampshire","0.03","3.82","1.86","Hampshire"
"201516","total","Local authority","South East","Portsmouth","0.06","6.95","2.29","Portsmouth"
"201516","total","Local authority","South East","Southampton","0.08","4.31","2.37","Southampton"
"201516","total","Local authority","East Midlands","Leicestershire","0.02","2.83","1.56","Leicestershire"
"201516","total","Local authority","East Midlands","Leicester","0.03","4.32","2.2","Leicester"
"201516","total","Local authority","East Midlands","Rutland","0.14","2.96","1.9","Rutland"
"201516","total","Local authority","West Midlands","Staffordshire","0.13","3.5","1.94","Staffordshire"
"201516","total","Local authority","West Midlands","Stoke-on-Trent","0.11","4.93","2.66","Stoke-on-Trent"
"201516","total","Local authority","South West","Wiltshire","0.01","3.5","1.81","Wiltshire"
"201516","total","Local authority","South West","Swindon","0.08","5.1","2.29","Swindon"
"201516","total","Local authority","South East","Bracknell Forest","x","3.07","1.48","Bracknell Forest"
"201516","total","Local authority","South East","Windsor and Maidenhead","0.08","2.85","1.76","Windsor and Maidenhead"
"201516","total","Local authority","South East","West Berkshire","0.06","3.35","1.76","West Berkshire"
"201516","total","Local authority","South East","Reading","0.11","3.91","2","Reading"
"201516","total","Local authority","South East","Slough","0.02","2.84","1.76","Slough"
"201516","total","Local authority","South East","Wokingham","0.12","2.37","1.25","Wokingham"
"201516","total","Local authority","East of England","Cambridgeshire","0","3.47","1.73","Cambridgeshire"
"201516","total","Local authority","East of England","Peterborough","0.08","3.9","2.08","Peterborough"
"201516","total","Local authority","North West","Halton","0.1","4.2","2.06","Halton"
"201516","total","Local authority","North West","Warrington","0.03","3.95","1.57","Warrington"
"201516","total","Local authority","South West","Devon","0.09","3.55","1.68","Devon"
"201516","total","Local authority","South West","Plymouth","0.05","3.97","2.15","Plymouth"
"201516","total","Local authority","South West","Torbay","0.13","5.05","2.55","Torbay"
"201516","total","Local authority","East of England","Essex","0.04","3.46","1.81","Essex"
"201516","total","Local authority","East of England","Southend-on-Sea","0.03","5.54","2.33","Southend-on-Sea"
"201516","total","Local authority","East of England","Thurrock","0.09","2.51","1.33","Thurrock"
"201516","total","Local authority","West Midlands","Herefordshire","0.05","3.45","1.93","Herefordshire"
"201516","total","Local authority","West Midlands","Worcestershire","0.1","3.43","1.85","Worcestershire"
"201516","total","Local authority","South East","Kent","0.03","4.7","2.45","Kent"
"201516","total","Local authority","South East","Medway","0.18","7.4","2.92","Medway"
"201516","total","Local authority","North West","Lancashire","0.18","4.05","2.08","Lancashire"
"201516","total","Local authority","North West","Blackburn with Darwen","0.01","1.76","1.12","Blackburn with Darwen"
"201516","total","Local authority","North West","Blackpool","0.12","6.42","3.32","Blackpool"
"201516","total","Local authority","East Midlands","Nottinghamshire","0.03","5.36","2.14","Nottinghamshire"
"201516","total","Local authority","East Midlands","Nottingham","0.2","6.16","2.96","Nottingham"
"201516","total","Local authority","West Midlands","Shropshire","0.09","3.22","1.8","Shropshire"
"201516","total","Local authority","West Midlands","Telford and Wrekin","0.04","12.5","3.73","Telford and Wrekin"
"201516","total","Local authority","North West","Cheshire East","0.08","3.86","1.76","Cheshire East"
"201516","total","Local authority","North West","Cheshire West and Chester","0.05","3.67","1.67","Cheshire West and Chester"
"201516","total","Local authority","South West","Cornwall","0.11","3.25","1.75","Cornwall"
"201516","total","Local authority","North West","Cumbria","0.07","4.75","2.25","Cumbria"
"201516","total","Local authority","South West","Gloucestershire","0.16","4.5","2.02","Gloucestershire"
"201516","total","Local authority","East of England","Hertfordshire","0.04","3.63","1.95","Hertfordshire"
"201516","total","Local authority","South East","Isle of Wight","0.04","5.57","2.53","Isle of Wight"
"201516","total","Local authority","East Midlands","Lincolnshire","0.15","4.36","2.01","Lincolnshire"
"201516","total","Local authority","East of England","Norfolk","0.22","5.06","2.3","Norfolk"
"201516","total","Local authority","East Midlands","Northamptonshire","0.08","4.16","2.08","Northamptonshire"
"201516","total","Local authority","North East","Northumberland","0.08","3.26","1.76","Northumberland"
