"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201314","total","Region","East of England",NA,"0.05","3.18","1.69","East of England"
"201314","total","Region","South East",NA,"0.05","3.7","1.86","South East"
"201314","total","Region","South West",NA,"0.07","3.51","1.83","South West"
"201314","total","Region","Inner London",NA,"0.08","3.15","1.99","Inner London"
"201314","total","Region","Outer London",NA,"0.06","2.78","1.73","Outer London"
"201314","total","Local authority","Inner London","City of London","0","3.43","2.58","City of London"
"201314","total","Local authority","Inner London","Camden","0.1","4.04","2.49","Camden"
"201314","total","Local authority","Outer London","Greenwich","0.04","4.55","2.71","Greenwich"
"201314","total","Local authority","Inner London","Hackney","0.1","5.37","3.1","Hackney"
"201314","total","Local authority","Inner London","Hammersmith and Fulham","0.04","2.58","1.95","Hammersmith and Fulham"
"201314","total","Local authority","Inner London","Islington","0.09","3.07","1.99","Islington"
"201314","total","Local authority","Inner London","Kensington and Chelsea","0.03","3.02","1.91","Kensington and Chelsea"
"201314","total","Local authority","Inner London","Lambeth","0.1","3.28","2.16","Lambeth"
"201314","total","Local authority","Inner London","Lewisham","0.13","3.72","2.33","Lewisham"
"201314","total","Local authority","Inner London","Southwark","0.05","3.01","1.76","Southwark"
"201314","total","Local authority","Inner London","Tower Hamlets","0.01","2.2","1.46","Tower Hamlets"
"201314","total","Local authority","Inner London","Wandsworth","0.13","2.22","1.44","Wandsworth"
"201314","total","Local authority","Inner London","Westminster","0.04","4","2.71","Westminster"
"201314","total","Local authority","Outer London","Barking and Dagenham","0.04","1.4","0.87","Barking and Dagenham"
"201314","total","Local authority","Outer London","Barnet","0.08","2.32","1.56","Barnet"
"201314","total","Local authority","Outer London","Bexley","0.1","3.06","1.85","Bexley"
"201314","total","Local authority","Outer London","Brent","0.06","2.72","1.77","Brent"
"201314","total","Local authority","Outer London","Bromley","0.09","2.4","1.35","Bromley"
"201314","total","Local authority","Outer London","Croydon","0.04","2.69","1.73","Croydon"
"201314","total","Local authority","Outer London","Ealing","0.11","2.44","1.55","Ealing"
"201314","total","Local authority","Outer London","Enfield","0.06","4.31","2.7","Enfield"
"201314","total","Local authority","Inner London","Haringey","0.1","3.31","2.17","Haringey"
"201314","total","Local authority","Outer London","Harrow","0.06","1.85","1.38","Harrow"
"201314","total","Local authority","Outer London","Havering","0.07","2.82","1.75","Havering"
"201314","total","Local authority","Outer London","Hillingdon","0.05","2.87","1.68","Hillingdon"
"201314","total","Local authority","Outer London","Hounslow","0.06","3.09","1.85","Hounslow"
"201314","total","Local authority","Outer London","Kingston upon Thames","0.02","1.37","0.89","Kingston upon Thames"
"201314","total","Local authority","Outer London","Merton","0.01","2.87","1.63","Merton"
"201314","total","Local authority","Inner London","Newham","0.07","2.15","1.28","Newham"
"201314","total","Local authority","Outer London","Redbridge","0.03","2.22","1.45","Redbridge"
"201314","total","Local authority","Outer London","Richmond upon Thames","0.09","2.17","1.25","Richmond upon Thames"
"201314","total","Local authority","Outer London","Sutton","0.06","3.59","2","Sutton"
"201314","total","Local authority","Outer London","Waltham Forest","x","3.19","2.1","Waltham Forest"
"201314","total","Local authority","West Midlands","Birmingham","0.12","3.44","2.25","Birmingham"
"201314","total","Local authority","West Midlands","Coventry","0.04","3.1","1.79","Coventry"
"201314","total","Local authority","West Midlands","Dudley","0.18","4.28","2.39","Dudley"
"201314","total","Local authority","West Midlands","Sandwell","0.08","3.24","2.01","Sandwell"
"201314","total","Local authority","West Midlands","Solihull","0.11","4.97","2.65","Solihull"
"201314","total","Local authority","West Midlands","Walsall","0.12","3.96","2.19","Walsall"
"201314","total","Local authority","West Midlands","Wolverhampton","0.02","3.22","1.71","Wolverhampton"
"201314","total","Local authority","North West","Knowsley","0.02","5.17","2.61","Knowsley"
"201314","total","Local authority","North West","Liverpool","0.1","2.58","1.76","Liverpool"
"201314","total","Local authority","North West","St. Helens","0","2.66","1.47","St. Helens"
"201314","total","Local authority","North West","Sefton","0.03","2.49","1.52","Sefton"
"201314","total","Local authority","North West","Wirral","0.07","3.63","1.97","Wirral"
"201314","total","Local authority","North West","Bolton","0.06","3.52","1.75","Bolton"
"201314","total","Local authority","North West","Bury","0.1","2.64","1.55","Bury"
"201314","total","Local authority","North West","Manchester","0.03","4.06","2.28","Manchester"
"201314","total","Local authority","North West","Oldham","0.12","4.16","2.08","Oldham"
"201314","total","Local authority","North West","Rochdale","0.12","5.02","2.56","Rochdale"
"201314","total","Local authority","North West","Salford","0.11","2.59","1.6","Salford"
"201314","total","Local authority","North West","Stockport","0.08","4.19","1.95","Stockport"
"201314","total","Local authority","North West","Tameside","0.18","4.62","2.51","Tameside"
"201314","total","Local authority","North West","Trafford","0.07","2.55","1.45","Trafford"
"201314","total","Local authority","North West","Wigan","0","3.46","1.82","Wigan"
"201314","total","Local authority","Yorkshire and the Humber","Barnsley","x","6.97","2.76","Barnsley"
"201314","total","Local authority","Yorkshire and the Humber","Doncaster","x","6.66","2.41","Doncaster"
"201314","total","Local authority","Yorkshire and the Humber","Rotherham","0.07","5.21","2.52","Rotherham"
"201314","total","Local authority","Yorkshire and the Humber","Sheffield","0.08","5.64","2.62","Sheffield"
"201314","total","Local authority","Yorkshire and the Humber","Bradford","0.01","2.72","1.76","Bradford"
"201314","total","Local authority","Yorkshire and the Humber","Calderdale","0.07","2.99","1.7","Calderdale"
"201314","total","Local authority","Yorkshire and the Humber","Kirklees","0","4.13","1.85","Kirklees"
"201314","total","Local authority","Yorkshire and the Humber","Leeds","0.01","3.89","1.83","Leeds"
"201314","total","Local authority","Yorkshire and the Humber","Wakefield","0.1","7.05","2.38","Wakefield"
"201314","total","Local authority","North East","Gateshead","0.07","2.08","1.37","Gateshead"
"201314","total","Local authority","North East","Newcastle upon Tyne","0.01","2.99","1.85","Newcastle upon Tyne"
"201314","total","Local authority","North East","North Tyneside","0.04","1.85","1.18","North Tyneside"
"201314","total","Local authority","North East","South Tyneside","0.06","1.21","0.77","South Tyneside"
"201314","total","Local authority","North East","Sunderland","0.05","2.33","1.33","Sunderland"
"201314","total","Local authority","South West","Isles Of Scilly","0","x","x","Isles Of Scilly"
"201314","total","Local authority","South West","Bath and North East Somerset","0.04","3.32","1.88","Bath and North East Somerset"
"201314","total","Local authority","South West","Bristol City of","0.09","5.35","2.8","Bristol City of"
"201314","total","Local authority","South West","North Somerset","0.11","2.38","1.32","North Somerset"
"201314","total","Local authority","South West","South Gloucestershire","0.09","4.17","1.91","South Gloucestershire"
"201314","total","Local authority","North East","Hartlepool","x","2.26","1.3","Hartlepool"
"201314","total","Local authority","North East","Middlesbrough","0.12","9.1","3.16","Middlesbrough"
"201314","total","Local authority","North East","Redcar and Cleveland","0","3.12","1.89","Redcar and Cleveland"
"201314","total","Local authority","North East","Stockton-on-Tees","0.06","2.59","1.44","Stockton-on-Tees"
"201314","total","Local authority","Yorkshire and the Humber","Kingston upon Hull City of","0.11","2.8","1.54","Kingston upon Hull City of"
"201314","total","Local authority","Yorkshire and the Humber","East Riding of Yorkshire","0.05","3.41","1.53","East Riding of Yorkshire"
"201314","total","Local authority","Yorkshire and the Humber","North East Lincolnshire","0.11","4.39","2.47","North East Lincolnshire"
"201314","total","Local authority","Yorkshire and the Humber","North Lincolnshire","0.01","7.3","2.54","North Lincolnshire"
"201314","total","Local authority","Yorkshire and the Humber","North Yorkshire","0.06","3.55","1.55","North Yorkshire"
"201314","total","Local authority","Yorkshire and the Humber","York","x","2.41","1.3","York"
"201314","total","Local authority","East of England","Luton","0.05","2.73","1.87","Luton"
"201314","total","Local authority","East of England","Bedford","0.09","2.64","1.43","Bedford"
"201314","total","Local authority","East of England","Central Bedfordshire","0.05","3.09","1.66","Central Bedfordshire"
"201314","total","Local authority","South East","Buckinghamshire","0.04","2.39","1.25","Buckinghamshire"
"201314","total","Local authority","South East","Milton Keynes","0.05","3.78","2.07","Milton Keynes"
"201314","total","Local authority","East Midlands","Derbyshire","0.1","3.51","1.78","Derbyshire"
"201314","total","Local authority","East Midlands","Derby","0.11","4.21","2.29","Derby"
"201314","total","Local authority","South West","Dorset","0.02","2.91","1.66","Dorset"
"201314","total","Local authority","South West","Poole","0.1","4.93","2.15","Poole"
"201314","total","Local authority","South West","Bournemouth","0.11","5.33","2.62","Bournemouth"
"201314","total","Local authority","North East","Durham","0.12","3.61","1.86","Durham"
"201314","total","Local authority","North East","Darlington","0","3.75","2.07","Darlington"
"201314","total","Local authority","South East","East Sussex","0.1","3.92","1.93","East Sussex"
"201314","total","Local authority","South East","Brighton and Hove","x","3.68","1.81","Brighton and Hove"
"201314","total","Local authority","South East","Hampshire","0.03","3.47","1.79","Hampshire"
"201314","total","Local authority","South East","Portsmouth","0.05","4.99","2.31","Portsmouth"
"201314","total","Local authority","South East","Southampton","0.07","4.82","2.48","Southampton"
"201314","total","Local authority","East Midlands","Leicestershire","0.02","2.87","1.45","Leicestershire"
"201314","total","Local authority","East Midlands","Leicester","0.02","2.99","1.72","Leicester"
"201314","total","Local authority","East Midlands","Rutland","0.11","2.86","1.89","Rutland"
"201314","total","Local authority","West Midlands","Staffordshire","0.08","3.14","1.82","Staffordshire"
"201314","total","Local authority","West Midlands","Stoke-on-Trent","0.11","5.36","2.83","Stoke-on-Trent"
"201314","total","Local authority","South West","Wiltshire","0.02","2.97","1.57","Wiltshire"
"201314","total","Local authority","South West","Swindon","0.05","4.85","2.41","Swindon"
"201314","total","Local authority","South East","Bracknell Forest","x","2.54","1.25","Bracknell Forest"
"201314","total","Local authority","South East","Windsor and Maidenhead","0.09","2.71","1.7","Windsor and Maidenhead"
"201314","total","Local authority","South East","West Berkshire","0.09","3.38","1.76","West Berkshire"
"201314","total","Local authority","South East","Reading","0.12","3.59","1.65","Reading"
"201314","total","Local authority","South East","Slough","0","2.17","1.4","Slough"
"201314","total","Local authority","South East","Wokingham","0.05","1.73","0.98","Wokingham"
"201314","total","Local authority","East of England","Cambridgeshire","0.01","3.11","1.6","Cambridgeshire"
"201314","total","Local authority","East of England","Peterborough","0.08","3.96","2.07","Peterborough"
"201314","total","Local authority","North West","Halton","0.07","3.77","1.97","Halton"
"201314","total","Local authority","North West","Warrington","0.03","3.14","1.64","Warrington"
"201314","total","Local authority","South West","Devon","0.08","3","1.44","Devon"
"201314","total","Local authority","South West","Plymouth","0.03","2.57","1.66","Plymouth"
"201314","total","Local authority","South West","Torbay","0.06","4.3","2.22","Torbay"
"201314","total","Local authority","East of England","Essex","0.03","3.1","1.67","Essex"
"201314","total","Local authority","East of England","Southend-on-Sea","0.02","2.96","1.68","Southend-on-Sea"
"201314","total","Local authority","East of England","Thurrock","0.07","3.05","1.51","Thurrock"
"201314","total","Local authority","West Midlands","Herefordshire","0.04","2.43","1.38","Herefordshire"
"201314","total","Local authority","West Midlands","Worcestershire","0.07","3.06","1.72","Worcestershire"
"201314","total","Local authority","South East","Kent","0.04","5.27","2.57","Kent"
"201314","total","Local authority","South East","Medway","0.16","5.97","2.48","Medway"
"201314","total","Local authority","North West","Lancashire","0.12","3.42","1.8","Lancashire"
"201314","total","Local authority","North West","Blackburn with Darwen","0.01","1.12","0.76","Blackburn with Darwen"
"201314","total","Local authority","North West","Blackpool","0.06","5.43","2.78","Blackpool"
"201314","total","Local authority","East Midlands","Nottinghamshire","0.04","4.27","1.98","Nottinghamshire"
"201314","total","Local authority","East Midlands","Nottingham","0.15","4.75","2.7","Nottingham"
"201314","total","Local authority","West Midlands","Shropshire","0.1","3.11","1.77","Shropshire"
"201314","total","Local authority","West Midlands","Telford and Wrekin","0.03","5.43","2.34","Telford and Wrekin"
"201314","total","Local authority","North West","Cheshire East","0.04","3.69","1.59","Cheshire East"
"201314","total","Local authority","North West","Cheshire West and Chester","0.06","3.98","1.65","Cheshire West and Chester"
"201314","total","Local authority","South West","Cornwall","0.09","2.23","1.33","Cornwall"
"201314","total","Local authority","North West","Cumbria","0.04","3.68","1.89","Cumbria"
"201314","total","Local authority","South West","Gloucestershire","0.1","3.6","1.83","Gloucestershire"
"201314","total","Local authority","East of England","Hertfordshire","0.02","3.04","1.73","Hertfordshire"
"201314","total","Local authority","South East","Isle of Wight","0.04","5.7","2.62","Isle of Wight"
"201314","total","Local authority","East Midlands","Lincolnshire","0.15","3.09","1.8","Lincolnshire"
"201314","total","Local authority","East of England","Norfolk","0.14","3.25","1.68","Norfolk"
"201314","total","Local authority","East Midlands","Northamptonshire","0.12","4.02","1.94","Northamptonshire"
"201314","total","Local authority","North East","Northumberland","0.08","3.1","1.82","Northumberland"
"201314","total","Local authority","South East","Oxfordshire","0.02","3.21","1.63","Oxfordshire"
"201314","total","Local authority","South West","Somerset","0.05","3.91","2","Somerset"
"201314","total","Local authority","East of England","Suffolk","0.08","3.79","1.65","Suffolk"
"201314","total","Local authority","South East","Surrey","0.03","2.83","1.43","Surrey"
"201314","total","Local authority","West Midlands","Warwickshire","0.04","3.22","1.67","Warwickshire"
"201314","total","Local authority","South East","West Sussex","0.06","2.72","1.46","West Sussex"
"201213","total","National",NA,NA,"0.06","3.51","1.92","England"
"201213","total","Region","North East",NA,"0.05","2.9","1.68","North East"
"201213","total","Region","North West",NA,"0.07","3.5","1.9","North West"
"201213","total","Region","Yorkshire and the Humber",NA,"0.03","4.1","2.01","Yorkshire and the Humber"
"201213","total","Region","East Midlands",NA,"0.08","3.67","1.96","East Midlands"
"201213","total","Region","West Midlands",NA,"0.08","3.56","2.07","West Midlands"
"201213","total","Region","East of England",NA,"0.05","3.2","1.75","East of England"
"201213","total","Region","South East",NA,"0.06","3.93","1.98","South East"
"201213","total","Region","South West",NA,"0.06","3.32","1.77","South West"
"201213","total","Region","Inner London",NA,"0.07","3.29","2.13","Inner London"
"201213","total","Region","Outer London",NA,"0.07","3.04","1.86","Outer London"
"201213","total","Local authority","Inner London","City of London","0","0","0","City of London"
"201213","total","Local authority","Inner London","Camden","0.1","4.45","2.73","Camden"
"201213","total","Local authority","Outer London","Greenwich","0.02","5.23","3.05","Greenwich"
"201213","total","Local authority","Inner London","Hackney","0.09","5.42","3.2","Hackney"
"201213","total","Local authority","Inner London","Hammersmith and Fulham","0.06","3.14","2.29","Hammersmith and Fulham"
"201213","total","Local authority","Inner London","Islington","0.13","4.12","2.64","Islington"
"201213","total","Local authority","Inner London","Kensington and Chelsea","x","2.58","1.83","Kensington and Chelsea"
"201213","total","Local authority","Inner London","Lambeth","0.1","3.05","2.09","Lambeth"
"201213","total","Local authority","Inner London","Lewisham","0.1","3.29","2.19","Lewisham"
"201213","total","Local authority","Inner London","Southwark","0.06","3.7","2.24","Southwark"
"201213","total","Local authority","Inner London","Tower Hamlets","0.02","2.11","1.45","Tower Hamlets"
"201213","total","Local authority","Inner London","Wandsworth","0.11","2.75","1.86","Wandsworth"
"201213","total","Local authority","Inner London","Westminster","0.03","4","2.8","Westminster"
"201213","total","Local authority","Outer London","Barking and Dagenham","0.06","1.4","0.93","Barking and Dagenham"
"201213","total","Local authority","Outer London","Barnet","0.08","3.03","1.85","Barnet"
"201213","total","Local authority","Outer London","Bexley","0.04","2.86","1.79","Bexley"
"201213","total","Local authority","Outer London","Brent","0.06","3.33","2.09","Brent"
"201213","total","Local authority","Outer London","Bromley","0.07","2.27","1.32","Bromley"
"201213","total","Local authority","Outer London","Croydon","0.1","2.99","1.99","Croydon"
"201213","total","Local authority","Outer London","Ealing","0.1","2.41","1.56","Ealing"
"201213","total","Local authority","Outer London","Enfield","0.1","4.24","2.61","Enfield"
"201213","total","Local authority","Inner London","Haringey","0.07","3.39","2.07","Haringey"
"201213","total","Local authority","Outer London","Harrow","0.07","2.16","1.49","Harrow"
"201213","total","Local authority","Outer London","Havering","0.08","3","1.91","Havering"
"201213","total","Local authority","Outer London","Hillingdon","0.07","3.52","1.81","Hillingdon"
"201213","total","Local authority","Outer London","Hounslow","0.07","3.21","2.02","Hounslow"
"201213","total","Local authority","Outer London","Kingston upon Thames","0.04","1.72","1.09","Kingston upon Thames"
"201213","total","Local authority","Outer London","Merton","0.04","3.36","2.01","Merton"
"201213","total","Local authority","Inner London","Newham","0.06","2.13","1.43","Newham"
"201213","total","Local authority","Outer London","Redbridge","0.05","2.41","1.5","Redbridge"
"201213","total","Local authority","Outer London","Richmond upon Thames","0.07","2.39","1.37","Richmond upon Thames"
"201213","total","Local authority","Outer London","Sutton","0.07","3.87","2.15","Sutton"
"201213","total","Local authority","Outer London","Waltham Forest","0","3.52","2.27","Waltham Forest"
"201213","total","Local authority","West Midlands","Birmingham","0.12","3.81","2.48","Birmingham"
"201213","total","Local authority","West Midlands","Coventry","0.03","3.32","1.82","Coventry"
"201213","total","Local authority","West Midlands","Dudley","0.11","4.23","2.37","Dudley"
"201213","total","Local authority","West Midlands","Sandwell","0.09","3.53","2.1","Sandwell"
"201213","total","Local authority","West Midlands","Solihull","0.12","5.03","2.85","Solihull"
"201213","total","Local authority","West Midlands","Walsall","0.13","4.52","2.39","Walsall"
"201213","total","Local authority","West Midlands","Wolverhampton","0","2.48","1.57","Wolverhampton"
"201213","total","Local authority","North West","Knowsley","0.01","4.52","2.48","Knowsley"
"201213","total","Local authority","North West","Liverpool","0.09","2.77","1.92","Liverpool"
"201213","total","Local authority","North West","St. Helens","x","2.43","1.29","St. Helens"
"201213","total","Local authority","North West","Sefton","0.04","2.57","1.49","Sefton"
"201213","total","Local authority","North West","Wirral","0.05","3.61","1.96","Wirral"
"201213","total","Local authority","North West","Bolton","0.06","3","1.69","Bolton"
"201213","total","Local authority","North West","Bury","0.12","2.82","1.71","Bury"
"201213","total","Local authority","North West","Manchester","0.04","3.86","2.28","Manchester"
"201213","total","Local authority","North West","Oldham","0.14","4.36","2.4","Oldham"
"201213","total","Local authority","North West","Rochdale","0.11","4.37","2.36","Rochdale"
"201213","total","Local authority","North West","Salford","0.03","2.79","1.57","Salford"
"201213","total","Local authority","North West","Stockport","0.12","4.07","2.02","Stockport"
"201213","total","Local authority","North West","Tameside","0.17","5.85","2.74","Tameside"
"201213","total","Local authority","North West","Trafford","0.07","2.74","1.49","Trafford"
"201213","total","Local authority","North West","Wigan","x","3.71","1.96","Wigan"
"201213","total","Local authority","Yorkshire and the Humber","Barnsley","0","3.97","2.09","Barnsley"
"201213","total","Local authority","Yorkshire and the Humber","Doncaster","0.03","6.08","2.49","Doncaster"
"201213","total","Local authority","Yorkshire and the Humber","Rotherham","0.04","5.11","2.38","Rotherham"
"201213","total","Local authority","Yorkshire and the Humber","Sheffield","0.05","4.88","2.55","Sheffield"
"201213","total","Local authority","Yorkshire and the Humber","Bradford","0.02","2.94","1.77","Bradford"
"201213","total","Local authority","Yorkshire and the Humber","Calderdale","0.1","3.36","1.91","Calderdale"
"201213","total","Local authority","Yorkshire and the Humber","Kirklees","x","3.74","1.79","Kirklees"
"201213","total","Local authority","Yorkshire and the Humber","Leeds","0.01","3.73","1.8","Leeds"
"201213","total","Local authority","Yorkshire and the Humber","Wakefield","0.06","6.09","2.35","Wakefield"
"201213","total","Local authority","North East","Gateshead","0.09","2.77","1.77","Gateshead"
"201213","total","Local authority","North East","Newcastle upon Tyne","0.01","3.33","2.02","Newcastle upon Tyne"
"201213","total","Local authority","North East","North Tyneside","0.01","1.96","1.31","North Tyneside"
"201213","total","Local authority","North East","South Tyneside","0.08","1.01","0.79","South Tyneside"
"201213","total","Local authority","North East","Sunderland","0.06","2.31","1.38","Sunderland"
"201213","total","Local authority","South West","Isles Of Scilly","0","0","0","Isles Of Scilly"
"201213","total","Local authority","South West","Bath and North East Somerset","0.05","3.86","1.99","Bath and North East Somerset"
"201213","total","Local authority","South West","Bristol City of","0.06","4.48","2.46","Bristol City of"
"201213","total","Local authority","South West","North Somerset","0.11","2.23","1.37","North Somerset"
"201213","total","Local authority","South West","South Gloucestershire","0.07","4.83","2.26","South Gloucestershire"
"201213","total","Local authority","North East","Hartlepool","x","2.01","1.1","Hartlepool"
"201213","total","Local authority","North East","Middlesbrough","0.04","3.32","1.91","Middlesbrough"
"201213","total","Local authority","North East","Redcar and Cleveland","0","3.45","2.14","Redcar and Cleveland"
"201213","total","Local authority","North East","Stockton-on-Tees","0.03","2.94","1.77","Stockton-on-Tees"
"201213","total","Local authority","Yorkshire and the Humber","Kingston upon Hull City of","0.08","3.24","1.89","Kingston upon Hull City of"
"201213","total","Local authority","Yorkshire and the Humber","East Riding of Yorkshire","0.03","4.43","1.96","East Riding of Yorkshire"
"201213","total","Local authority","Yorkshire and the Humber","North East Lincolnshire","0.03","3.75","2.16","North East Lincolnshire"
"201213","total","Local authority","Yorkshire and the Humber","North Lincolnshire","0","4.16","2.06","North Lincolnshire"
"201213","total","Local authority","Yorkshire and the Humber","North Yorkshire","0.05","3.68","1.74","North Yorkshire"
"201213","total","Local authority","Yorkshire and the Humber","York","x","2.75","1.47","York"
"201213","total","Local authority","East of England","Luton","0.04","2.72","1.62","Luton"
"201213","total","Local authority","East of England","Bedford","0.09","2.3","1.43","Bedford"
"201213","total","Local authority","East of England","Central Bedfordshire","0.13","3.49","1.94","Central Bedfordshire"
"201213","total","Local authority","South East","Buckinghamshire","0.05","3.13","1.57","Buckinghamshire"
"201213","total","Local authority","South East","Milton Keynes","0.04","4.22","2.1","Milton Keynes"
"201213","total","Local authority","East Midlands","Derbyshire","0.09","3.78","1.97","Derbyshire"
"201213","total","Local authority","East Midlands","Derby","0.1","3.67","2.14","Derby"
"201213","total","Local authority","South West","Dorset","x","2.76","1.58","Dorset"
"201213","total","Local authority","South West","Poole","0.05","3.17","1.54","Poole"
"201213","total","Local authority","South West","Bournemouth","0.14","4.95","2.27","Bournemouth"
"201213","total","Local authority","North East","Durham","0.11","3.72","1.93","Durham"
"201213","total","Local authority","North East","Darlington","x","4.01","1.95","Darlington"
"201213","total","Local authority","South East","East Sussex","0.13","4.51","2.11","East Sussex"
"201213","total","Local authority","South East","Brighton and Hove","0.05","6.15","2.5","Brighton and Hove"
"201213","total","Local authority","South East","Hampshire","0.04","3.65","1.88","Hampshire"
"201213","total","Local authority","South East","Portsmouth","0.08","5.15","2.61","Portsmouth"
"201213","total","Local authority","South East","Southampton","0.07","6.78","3.44","Southampton"
"201213","total","Local authority","East Midlands","Leicestershire","0.03","3.57","1.76","Leicestershire"
"201213","total","Local authority","East Midlands","Leicester","0.02","3.11","1.86","Leicester"
"201213","total","Local authority","East Midlands","Rutland","0.06","2.02","1.37","Rutland"
"201213","total","Local authority","West Midlands","Staffordshire","0.07","2.93","1.76","Staffordshire"
"201213","total","Local authority","West Midlands","Stoke-on-Trent","0.09","4.45","2.22","Stoke-on-Trent"
"201213","total","Local authority","South West","Wiltshire","0.02","2.97","1.57","Wiltshire"
"201213","total","Local authority","South West","Swindon","0.04","4.72","2.33","Swindon"
"201213","total","Local authority","South East","Bracknell Forest","0.03","3","1.54","Bracknell Forest"
"201213","total","Local authority","South East","Windsor and Maidenhead","0.04","2.41","1.6","Windsor and Maidenhead"
"201213","total","Local authority","South East","West Berkshire","0.08","3.08","1.68","West Berkshire"
"201213","total","Local authority","South East","Reading","0.18","3.91","1.84","Reading"
"201213","total","Local authority","South East","Slough","0.04","2.39","1.64","Slough"
"201213","total","Local authority","South East","Wokingham","0.08","2.37","1.25","Wokingham"
"201213","total","Local authority","East of England","Cambridgeshire","0.01","2.57","1.51","Cambridgeshire"
"201213","total","Local authority","East of England","Peterborough","0.07","3.33","2.02","Peterborough"
"201213","total","Local authority","North West","Halton","0.09","3.96","2.07","Halton"
"201213","total","Local authority","North West","Warrington","0.03","2.51","1.38","Warrington"
"201213","total","Local authority","South West","Devon","0.08","3.03","1.6","Devon"
"201213","total","Local authority","South West","Plymouth","0.01","2.44","1.56","Plymouth"
"201213","total","Local authority","South West","Torbay","0.02","3.38","1.93","Torbay"
"201213","total","Local authority","East of England","Essex","0.02","3.37","1.82","Essex"
"201213","total","Local authority","East of England","Southend-on-Sea","x","3.85","2","Southend-on-Sea"
"201213","total","Local authority","East of England","Thurrock","0.06","2.44","1.41","Thurrock"
"201213","total","Local authority","West Midlands","Herefordshire","0.04","2.77","1.6","Herefordshire"
"201213","total","Local authority","West Midlands","Worcestershire","0.06","3.09","1.77","Worcestershire"
"201213","total","Local authority","South East","Kent","0.06","4.88","2.5","Kent"
"201213","total","Local authority","South East","Medway","0.09","5.67","2.7","Medway"
"201213","total","Local authority","North West","Lancashire","0.1","3.19","1.81","Lancashire"
"201213","total","Local authority","North West","Blackburn with Darwen","0.05","1.74","1.1","Blackburn with Darwen"
"201213","total","Local authority","North West","Blackpool","x","5.27","2.74","Blackpool"
"201213","total","Local authority","East Midlands","Nottinghamshire","0.07","4.51","2.11","Nottinghamshire"
"201213","total","Local authority","East Midlands","Nottingham","0.07","4.86","2.96","Nottingham"
"201213","total","Local authority","West Midlands","Shropshire","0.08","3.09","1.75","Shropshire"
"201213","total","Local authority","West Midlands","Telford and Wrekin","0.06","4.96","2.5","Telford and Wrekin"
"201213","total","Local authority","North West","Cheshire East","0.06","3.61","1.65","Cheshire East"
"201213","total","Local authority","North West","Cheshire West and Chester","0.04","4.14","1.94","Cheshire West and Chester"
"201213","total","Local authority","South West","Cornwall","0.04","2.01","1.24","Cornwall"
"201213","total","Local authority","North West","Cumbria","0.02","3.92","1.98","Cumbria"
"201213","total","Local authority","South West","Gloucestershire","0.1","3.67","1.89","Gloucestershire"
"201213","total","Local authority","East of England","Hertfordshire","0.02","3.38","1.93","Hertfordshire"
"201213","total","Local authority","South East","Isle of Wight","0.1","6.96","2.95","Isle of Wight"
"201213","total","Local authority","East Midlands","Lincolnshire","0.15","3.06","1.82","Lincolnshire"
"201213","total","Local authority","East of England","Norfolk","0.11","3.43","1.78","Norfolk"
"201213","total","Local authority","East Midlands","Northamptonshire","0.09","3.22","1.73","Northamptonshire"
"201213","total","Local authority","North East","Northumberland","0.05","2.79","1.56","Northumberland"
"201213","total","Local authority","South East","Oxfordshire","0.04","3.49","1.83","Oxfordshire"
"201213","total","Local authority","South West","Somerset","0.03","3.36","1.78","Somerset"
"201213","total","Local authority","East of England","Suffolk","0.06","3","1.45","Suffolk"
"201213","total","Local authority","South East","Surrey","0.03","2.89","1.41","Surrey"
"201213","total","Local authority","West Midlands","Warwickshire","0.02","2.98","1.64","Warwickshire"
"201213","total","Local authority","South East","West Sussex","0.06","2.86","1.57","West Sussex"
"201112","total","National",NA,NA,"0.07","4.03","2.15","England"
"201112","total","Region","North East",NA,"0.07","3.55","1.94","North East"
"201112","total","Region","North West",NA,"0.07","3.89","2.11","North West"
"201112","total","Region","Yorkshire and the Humber",NA,"0.05","4.4","2.16","Yorkshire and the Humber"
"201112","total","Region","East Midlands",NA,"0.08","4.07","2.18","East Midlands"
"201112","total","Region","West Midlands",NA,"0.08","4.12","2.32","West Midlands"
"201112","total","Region","East of England",NA,"0.07","4.09","2.06","East of England"
"201112","total","Region","South East",NA,"0.06","4.56","2.26","South East"
"201112","total","Region","South West",NA,"0.06","3.81","2.01","South West"
"201112","total","Region","Inner London",NA,"0.08","3.74","2.31","Inner London"
"201112","total","Region","Outer London",NA,"0.08","3.46","2.1","Outer London"
"201112","total","Local authority","Inner London","City of London","0","0","0","City of London"
"201112","total","Local authority","Inner London","Camden","0.08","5.12","3","Camden"
"201112","total","Local authority","Outer London","Greenwich","0.03","4.8","2.79","Greenwich"
"201112","total","Local authority","Inner London","Hackney","0.12","6.62","3.54","Hackney"
"201112","total","Local authority","Inner London","Hammersmith and Fulham","0.09","3.43","2.49","Hammersmith and Fulham"
"201112","total","Local authority","Inner London","Islington","0.07","3.58","2.21","Islington"
"201112","total","Local authority","Inner London","Kensington and Chelsea","0.06","2.64","1.79","Kensington and Chelsea"
"201112","total","Local authority","Inner London","Lambeth","0.11","3.91","2.25","Lambeth"
