"year","level","la_name","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"201415","Region","South West","Special","93","8360","10","0.11","1730","20.71","635","7.58"
"201415","Region","Inner London","Total","941","418310","315","0.08","14730","3.52","9175","2.19"
"201415","Region","Inner London","Primary","706","254940","20","0.01","2325","0.91","1295","0.51"
"201415","Region","Inner London","Secondary","178","158465","285","0.18","11480","7.24","7515","4.74"
"201415","Region","Inner London","Special","57","4905","10","0.18","925","18.91","365","7.4"
"201415","Region","Outer London","Total","1482","810025","575","0.07","25520","3.15","15440","1.91"
"201415","Region","Outer London","Primary","1099","475625","40","0.01","3565","0.75","1895","0.4"
"201415","Region","Outer London","Secondary","299","325330","525","0.16","21000","6.45","13185","4.05"
"201415","Region","Outer London","Special","84","9070","5","0.07","960","10.56","360","3.97"
"201415","Local authority","City of London","Total","1","240","x","x","0","0","0","0"
"201415","Local authority","City of London","Primary","1","240","x","x","0","0","0","0"
"201415","Local authority","Camden","Total","56","22035","21","0.1","1095","4.97","651","2.95"
"201415","Local authority","Camden","Primary","43","11952","x","x","145","1.21","64","0.54"
"201415","Local authority","Camden","Secondary","10","9795","19","0.19","876","8.94","560","5.72"
"201415","Local authority","Camden","Special","3","288","0","0","74","25.69","27","9.38"
"201415","Local authority","Greenwich","Total","82","40930","19","0.05","1925","4.7","1084","2.65"
"201415","Local authority","Greenwich","Primary","64","25815","0","0","351","1.36","165","0.64"
"201415","Local authority","Greenwich","Secondary","14","14684","19","0.13","1438","9.79","879","5.99"
"201415","Local authority","Greenwich","Special","4","431","0","0","136","31.55","40","9.28"
"201415","Local authority","Hackney","Total","74","33216","29","0.09","1724","5.19","1073","3.23"
"201415","Local authority","Hackney","Primary","55","20456","8","0.04","188","0.92","127","0.62"
"201415","Local authority","Hackney","Secondary","16","12468","21","0.17","1525","12.23","936","7.51"
"201415","Local authority","Hackney","Special","3","292","0","0","11","3.77","10","3.42"
"201415","Local authority","Hammersmith and Fulham","Total","54","19583","20","0.1","715","3.65","462","2.36"
"201415","Local authority","Hammersmith and Fulham","Primary","37","10676","x","x","106","0.99","63","0.59"
"201415","Local authority","Hammersmith and Fulham","Secondary","12","8484","17","0.2","585","6.9","388","4.57"
"201415","Local authority","Hammersmith and Fulham","Special","5","423","x","x","24","5.67","11","2.6"
"201415","Local authority","Islington","Total","61","23995","19","0.08","963","4.01","580","2.42"
"201415","Local authority","Islington","Primary","45","15018","x","x","306","2.04","133","0.89"
"201415","Local authority","Islington","Secondary","11","8588","18","0.21","640","7.45","435","5.07"
"201415","Local authority","Islington","Special","5","389","0","0","17","4.37","12","3.08"
"201415","Local authority","Kensington and Chelsea","Total","33","12058","8","0.07","394","3.27","282","2.34"
"201415","Local authority","Kensington and Chelsea","Primary","26","7344","0","0","32","0.44","19","0.26"
"201415","Local authority","Kensington and Chelsea","Secondary","6","4632","8","0.17","346","7.47","253","5.46"
"201415","Local authority","Kensington and Chelsea","Special","1","82","0","0","16","19.51","10","12.2"
"201415","Local authority","Lambeth","Total","83","35908","27","0.08","1003","2.79","656","1.83"
"201415","Local authority","Lambeth","Primary","60","22494","3","0.01","275","1.22","160","0.71"
"201415","Local authority","Lambeth","Secondary","18","12976","22","0.17","653","5.03","460","3.55"
"201415","Local authority","Lambeth","Special","5","438","x","x","75","17.12","36","8.22"
"201415","Local authority","Lewisham","Total","85","40843","73","0.18","1651","4.04","1024","2.51"
"201415","Local authority","Lewisham","Primary","66","25335","0","0","214","0.84","126","0.5"
"201415","Local authority","Lewisham","Secondary","14","14974","73","0.49","1216","8.12","809","5.4"
"201415","Local authority","Lewisham","Special","5","534","0","0","221","41.39","89","16.67"
"201415","Local authority","Southwark","Total","98","39905","18","0.05","1409","3.53","834","2.09"
"201415","Local authority","Southwark","Primary","73","24956","0","0","358","1.43","205","0.82"
"201415","Local authority","Southwark","Secondary","18","14473","18","0.12","845","5.84","570","3.94"
"201415","Local authority","Southwark","Special","7","476","0","0","206","43.28","59","12.39"
"201415","Local authority","Tower Hamlets","Total","94","42282","8","0.02","974","2.3","631","1.49"
"201415","Local authority","Tower Hamlets","Primary","70","25619","0","0","61","0.24","33","0.13"
"201415","Local authority","Tower Hamlets","Secondary","18","16218","8","0.05","869","5.36","569","3.51"
"201415","Local authority","Tower Hamlets","Special","6","445","0","0","44","9.89","29","6.52"
"201415","Local authority","Wandsworth","Total","77","32305","36","0.11","967","2.99","652","2.02"
"201415","Local authority","Wandsworth","Primary","59","20143","x","x","225","1.12","129","0.64"
"201415","Local authority","Wandsworth","Secondary","11","11394","29","0.25","688","6.04","484","4.25"
"201415","Local authority","Wandsworth","Special","7","768","5","0.65","54","7.03","39","5.08"
"201415","Local authority","Westminster","Total","56","22043","11","0.05","853","3.87","574","2.6"
"201415","Local authority","Westminster","Primary","41","11243","x","x","89","0.79","54","0.48"
"201415","Local authority","Westminster","Secondary","12","10620","10","0.09","764","7.19","520","4.9"
"201415","Local authority","Westminster","Special","3","180","0","0","0","0","0","0"
"201415","Local authority","Barking and Dagenham","Total","56","39927","18","0.05","805","2.02","468","1.17"
"201415","Local authority","Barking and Dagenham","Primary","43","26111","3","0.01","285","1.09","129","0.49"
"201415","Local authority","Barking and Dagenham","Secondary","12","13535","15","0.11","520","3.84","339","2.5"
"201415","Local authority","Barking and Dagenham","Special","1","281","0","0","0","0","0","0"
"201415","Local authority","Barnet","Total","117","54481","41","0.08","1496","2.75","952","1.75"
"201415","Local authority","Barnet","Primary","88","30534","x","x","102","0.33","55","0.18"
"201415","Local authority","Barnet","Secondary","25","23499","40","0.17","1394","5.93","897","3.82"
"201415","Local authority","Barnet","Special","4","448","0","0","0","0","0","0"
"201415","Local authority","Bexley","Total","80","43230","36","0.08","1654","3.83","950","2.2"
"201415","Local authority","Bexley","Primary","59","22269","x","x","107","0.48","62","0.28"
"201415","Local authority","Bexley","Secondary","16","20508","34","0.17","1440","7.02","835","4.07"
"201415","Local authority","Bexley","Special","5","453","x","x","107","23.62","53","11.7"
"201415","Local authority","Brent","Total","79","47269","45","0.1","1663","3.52","1080","2.28"
"201415","Local authority","Brent","Primary","60","27538","x","x","374","1.36","192","0.7"
"201415","Local authority","Brent","Secondary","15","19161","43","0.22","1277","6.66","882","4.6"
"201415","Local authority","Brent","Special","4","570","0","0","12","2.11","6","1.05"
"201415","Local authority","Bromley","Total","97","48627","52","0.11","1033","2.12","649","1.33"
"201415","Local authority","Bromley","Primary","76","26250","8","0.03","199","0.76","110","0.42"
"201415","Local authority","Bromley","Secondary","17","21871","44","0.2","769","3.52","508","2.32"
"201415","Local authority","Bromley","Special","4","506","0","0","65","12.85","31","6.13"
"201415","Local authority","Croydon","Total","112","55973","20","0.04","1683","3.01","1096","1.96"
"201415","Local authority","Croydon","Primary","83","33183","x","x","264","0.8","141","0.42"
"201415","Local authority","Croydon","Secondary","23","22002","19","0.09","1400","6.36","944","4.29"
"201415","Local authority","Croydon","Special","6","788","0","0","19","2.41","11","1.4"
"201415","Local authority","Ealing","Total","87","51791","55","0.11","1518","2.93","924","1.78"
"201415","Local authority","Ealing","Primary","67","32694","10","0.03","272","0.83","135","0.41"
"201415","Local authority","Ealing","Secondary","14","18450","45","0.24","1243","6.74","786","4.26"
"201415","Local authority","Ealing","Special","6","647","0","0","3","0.46","3","0.46"
"201415","Local authority","Enfield","Total","95","56293","67","0.12","2681","4.76","1605","2.85"
"201415","Local authority","Enfield","Primary","69","33152","5","0.02","389","1.17","213","0.64"
"201415","Local authority","Enfield","Secondary","20","22535","62","0.28","2247","9.97","1370","6.08"
"201415","Local authority","Enfield","Special","6","606","0","0","45","7.43","22","3.63"
"201415","Local authority","Haringey","Total","82","36819","17","0.05","1289","3.5","798","2.17"
"201415","Local authority","Haringey","Primary","64","23588","x","x","198","0.84","93","0.39"
"201415","Local authority","Haringey","Secondary","13","12768","16","0.13","1089","8.53","703","5.51"
"201415","Local authority","Haringey","Special","5","463","0","0","x","x","x","x"
"201415","Local authority","Harrow","Total","59","34211","21","0.06","744","2.17","502","1.47"
"201415","Local authority","Harrow","Primary","44","21270","3","0.01","77","0.36","48","0.23"
"201415","Local authority","Harrow","Secondary","11","12545","17","0.14","662","5.28","449","3.58"
"201415","Local authority","Harrow","Special","4","396","x","x","5","1.26","5","1.26"
"201415","Local authority","Havering","Total","81","37842","39","0.1","1091","2.88","677","1.79"
"201415","Local authority","Havering","Primary","59","21196","x","x","171","0.81","89","0.42"
"201415","Local authority","Havering","Secondary","19","16362","38","0.23","916","5.6","585","3.58"
"201415","Local authority","Havering","Special","3","284","0","0","4","1.41","3","1.06"
"201415","Local authority","Hillingdon","Total","99","49850","34","0.07","1528","3.07","891","1.79"
"201415","Local authority","Hillingdon","Primary","68","29354","x","x","122","0.42","67","0.23"
"201415","Local authority","Hillingdon","Secondary","21","19739","32","0.16","1381","7","810","4.1"
"201415","Local authority","Hillingdon","Special","10","757","0","0","25","3.3","14","1.85"
"201415","Local authority","Hounslow","Total","74","40908","28","0.07","1385","3.39","811","1.98"
"201415","Local authority","Hounslow","Primary","53","23672","0","0","85","0.36","68","0.29"
"201415","Local authority","Hounslow","Secondary","16","16750","28","0.17","1289","7.7","739","4.41"
"201415","Local authority","Hounslow","Special","5","486","0","0","11","2.26","4","0.82"
"201415","Local authority","Kingston upon Thames","Total","48","24303","12","0.05","391","1.61","246","1.01"
"201415","Local authority","Kingston upon Thames","Primary","35","14238","0","0","12","0.08","11","0.08"
"201415","Local authority","Kingston upon Thames","Secondary","10","9791","12","0.12","376","3.84","232","2.37"
"201415","Local authority","Kingston upon Thames","Special","3","274","0","0","3","1.09","3","1.09"
"201415","Local authority","Merton","Total","55","28473","16","0.06","959","3.37","549","1.93"
"201415","Local authority","Merton","Primary","44","19334","0","0","176","0.91","98","0.51"
"201415","Local authority","Merton","Secondary","8","8809","16","0.18","679","7.71","422","4.79"
"201415","Local authority","Merton","Special","3","330","0","0","104","31.52","29","8.79"
"201415","Local authority","Newham","Total","87","57077","29","0.05","1693","2.97","958","1.68"
"201415","Local authority","Newham","Primary","66","35877","x","x","126","0.35","90","0.25"
"201415","Local authority","Newham","Secondary","19","21075","27","0.13","1384","6.57","829","3.93"
"201415","Local authority","Newham","Special","2","125","x","x","183","146.4","39","31.2"
"201415","Local authority","Redbridge","Total","74","54026","16","0.03","1197","2.22","811","1.5"
"201415","Local authority","Redbridge","Primary","52","29586","0","0","148","0.5","72","0.24"
"201415","Local authority","Redbridge","Secondary","18","23919","16","0.07","929","3.88","702","2.93"
"201415","Local authority","Redbridge","Special","4","521","0","0","120","23.03","37","7.1"
"201415","Local authority","Richmond upon Thames","Total","54","24683","20","0.08","741","3","403","1.63"
"201415","Local authority","Richmond upon Thames","Primary","43","16621","0","0","42","0.25","23","0.14"
"201415","Local authority","Richmond upon Thames","Secondary","9","7870","20","0.25","659","8.37","363","4.61"
"201415","Local authority","Richmond upon Thames","Special","2","192","0","0","40","20.83","17","8.85"
"201415","Local authority","Sutton","Total","61","35562","29","0.08","1302","3.66","679","1.91"
"201415","Local authority","Sutton","Primary","42","17285","4","0.02","144","0.83","67","0.39"
"201415","Local authority","Sutton","Secondary","14","17909","21","0.12","1015","5.67","581","3.24"
"201415","Local authority","Sutton","Special","5","368","4","1.09","143","38.86","31","8.42"
"201415","Local authority","Waltham Forest","Total","72","41647","6","0.01","1724","4.14","1065","2.56"
"201415","Local authority","Waltham Forest","Primary","50","25525","0","0","243","0.95","151","0.59"
"201415","Local authority","Waltham Forest","Secondary","17","15391","6","0.04","1365","8.87","863","5.61"
"201415","Local authority","Waltham Forest","Special","5","731","0","0","116","15.87","51","6.98"
"201415","Local authority","Birmingham","Total","410","188838","263","0.14","7659","4.06","4759","2.52"
"201415","Local authority","Birmingham","Primary","299","111905","76","0.07","1722","1.54","998","0.89"
"201415","Local authority","Birmingham","Secondary","84","73095","181","0.25","5514","7.54","3566","4.88"
"201415","Local authority","Birmingham","Special","27","3838","6","0.16","423","11.02","195","5.08"
"201415","Local authority","Coventry","Total","114","52831","20","0.04","1739","3.29","975","1.85"
"201415","Local authority","Coventry","Primary","84","31365","3","0.01","437","1.39","198","0.63"
"201415","Local authority","Coventry","Secondary","22","20640","17","0.08","1226","5.94","739","3.58"
"201415","Local authority","Coventry","Special","8","826","0","0","76","9.2","38","4.6"
"201415","Local authority","Dudley","Total","106","46793","102","0.22","2113","4.52","1195","2.55"
"201415","Local authority","Dudley","Primary","78","27853","11","0.04","342","1.23","193","0.69"
"201415","Local authority","Dudley","Secondary","21","18205","89","0.49","1737","9.54","980","5.38"
"201415","Local authority","Dudley","Special","7","735","x","x","34","4.63","22","2.99"
"201415","Local authority","Sandwell","Total","115","55240","55","0.1","2783","5.04","1394","2.52"
"201415","Local authority","Sandwell","Primary","94","34442","9","0.03","272","0.79","162","0.47"
"201415","Local authority","Sandwell","Secondary","17","20321","46","0.23","2400","11.81","1194","5.88"
"201415","Local authority","Sandwell","Special","4","477","0","0","111","23.27","38","7.97"
"201415","Local authority","Solihull","Total","79","37916","78","0.21","2175","5.74","1142","3.01"
"201415","Local authority","Solihull","Primary","60","20294","5","0.02","226","1.11","103","0.51"
"201415","Local authority","Solihull","Secondary","14","17081","73","0.43","1888","11.05","1011","5.92"
"201415","Local authority","Solihull","Special","5","541","0","0","61","11.28","28","5.18"
"201415","Local authority","Walsall","Total","112","48028","54","0.11","2034","4.24","1030","2.14"
"201415","Local authority","Walsall","Primary","85","27273","11","0.04","487","1.79","216","0.79"
"201415","Local authority","Walsall","Secondary","20","20185","42","0.21","1413","7","761","3.77"
"201415","Local authority","Walsall","Special","7","570","x","x","134","23.51","53","9.3"
"201415","Local authority","Wolverhampton","Total","98","40170","28","0.07","1171","2.92","700","1.74"
"201415","Local authority","Wolverhampton","Primary","74","24223","7","0.03","130","0.54","71","0.29"
"201415","Local authority","Wolverhampton","Secondary","17","15196","21","0.14","893","5.88","572","3.76"
"201415","Local authority","Wolverhampton","Special","7","751","0","0","148","19.71","57","7.59"
"201415","Local authority","Knowsley","Total","60","20275","3","0.01","1175","5.8","564","2.78"
"201415","Local authority","Knowsley","Primary","50","14353","0","0","48","0.33","32","0.22"
"201415","Local authority","Knowsley","Secondary","6","5513","3","0.05","1049","19.03","502","9.11"
"201415","Local authority","Knowsley","Special","4","409","0","0","78","19.07","30","7.33"
"201415","Local authority","Liverpool","Total","166","68445","69","0.1","2307","3.37","1575","2.3"
"201415","Local authority","Liverpool","Primary","121","37646","16","0.04","337","0.9","217","0.58"
"201415","Local authority","Liverpool","Secondary","31","29526","53","0.18","1857","6.29","1302","4.41"
"201415","Local authority","Liverpool","Special","14","1273","0","0","113","8.88","56","4.4"
"201415","Local authority","St. Helens","Total","67","25728","x","x","1035","4.02","521","2.03"
"201415","Local authority","St. Helens","Primary","54","15358","0","0","113","0.74","53","0.35"
"201415","Local authority","St. Helens","Secondary","9","9974","x","x","843","8.45","435","4.36"
"201415","Local authority","St. Helens","Special","4","396","x","x","79","19.95","33","8.33"
"201415","Local authority","Sefton","Total","103","40276","16","0.04","1028","2.55","602","1.49"
"201415","Local authority","Sefton","Primary","75","22264","x","x","168","0.75","80","0.36"
"201415","Local authority","Sefton","Secondary","22","17449","15","0.09","761","4.36","478","2.74"
"201415","Local authority","Sefton","Special","6","563","0","0","99","17.58","44","7.82"
"201415","Local authority","Wirral","Total","125","48792","28","0.06","1498","3.07","848","1.74"
"201415","Local authority","Wirral","Primary","90","26513","x","x","238","0.9","116","0.44"
"201415","Local authority","Wirral","Secondary","23","21273","26","0.12","1135","5.34","677","3.18"
"201415","Local authority","Wirral","Special","12","1006","0","0","125","12.43","55","5.47"
"201415","Local authority","Bolton","Total","122","47256","10","0.02","1966","4.16","946","2"
"201415","Local authority","Bolton","Primary","96","28279","7","0.02","535","1.89","230","0.81"
"201415","Local authority","Bolton","Secondary","19","18333","3","0.02","1364","7.44","689","3.76"
"201415","Local authority","Bolton","Special","7","644","0","0","67","10.4","27","4.19"
"201415","Local authority","Bury","Total","79","28494","53","0.19","997","3.5","546","1.92"
"201415","Local authority","Bury","Primary","63","17340","x","x","76","0.44","42","0.24"
"201415","Local authority","Bury","Secondary","13","10853","52","0.48","919","8.47","502","4.63"
"201415","Local authority","Bury","Special","3","301","0","0","x","x","x","x"
"201415","Local authority","Manchester","Total","173","77137","55","0.07","4360","5.65","1986","2.57"
"201415","Local authority","Manchester","Primary","133","50404","6","0.01","468","0.93","247","0.49"
"201415","Local authority","Manchester","Secondary","28","25569","49","0.19","3702","14.48","1667","6.52"
"201415","Local authority","Manchester","Special","12","1164","0","0","190","16.32","72","6.19"
"201415","Local authority","Oldham","Total","102","41677","63","0.15","1276","3.06","711","1.71"
"201415","Local authority","Oldham","Primary","85","25632","4","0.02","156","0.61","96","0.37"
"201415","Local authority","Oldham","Secondary","14","15508","59","0.38","998","6.44","571","3.68"
"201415","Local authority","Oldham","Special","3","537","0","0","122","22.72","44","8.19"
"201415","Local authority","Rochdale","Total","86","33554","60","0.18","1608","4.79","884","2.63"
"201415","Local authority","Rochdale","Primary","70","21240","9","0.04","128","0.6","83","0.39"
"201415","Local authority","Rochdale","Secondary","12","11834","50","0.42","1319","11.15","755","6.38"
"201415","Local authority","Rochdale","Special","4","480","x","x","161","33.54","46","9.58"
"201415","Local authority","Salford","Total","94","33639","40","0.12","1284","3.82","651","1.94"
"201415","Local authority","Salford","Primary","76","22586","10","0.04","230","1.02","143","0.63"
"201415","Local authority","Salford","Secondary","14","10508","30","0.29","977","9.3","482","4.59"
"201415","Local authority","Salford","Special","4","545","0","0","77","14.13","26","4.77"
"201415","Local authority","Stockport","Total","107","39407","34","0.09","1605","4.07","772","1.96"
"201415","Local authority","Stockport","Primary","85","24976","x","x","312","1.25","127","0.51"
"201415","Local authority","Stockport","Secondary","14","13824","30","0.22","1228","8.88","618","4.47"
"201415","Local authority","Stockport","Special","8","607","x","x","65","10.71","27","4.45"
"201415","Local authority","Tameside","Total","95","35157","55","0.16","1874","5.33","970","2.76"
"201415","Local authority","Tameside","Primary","75","21795","6","0.03","368","1.69","160","0.73"
"201415","Local authority","Tameside","Secondary","15","12956","49","0.38","1412","10.9","770","5.94"
"201415","Local authority","Tameside","Special","5","406","0","0","94","23.15","40","9.85"
"201415","Local authority","Trafford","Total","92","38891","37","0.1","1212","3.12","652","1.68"
"201415","Local authority","Trafford","Primary","67","21731","x","x","179","0.82","77","0.35"
"201415","Local authority","Trafford","Secondary","18","16520","35","0.21","909","5.5","527","3.19"
"201415","Local authority","Trafford","Special","7","640","0","0","124","19.38","48","7.5"
"201415","Local authority","Wigan","Total","129","45529","0","0","1713","3.76","906","1.99"
"201415","Local authority","Wigan","Primary","102","27218","0","0","314","1.15","138","0.51"
"201415","Local authority","Wigan","Secondary","21","17674","0","0","1332","7.54","727","4.11"
"201415","Local authority","Wigan","Special","6","637","0","0","67","10.52","41","6.44"
"201415","Local authority","Barnsley","Total","91","32655","7","0.02","5166","15.82","1243","3.81"
"201415","Local authority","Barnsley","Primary","77","20719","x","x","306","1.48","161","0.78"
"201415","Local authority","Barnsley","Secondary","12","11545","6","0.05","4849","42","1076","9.32"
"201415","Local authority","Barnsley","Special","2","391","0","0","11","2.81","6","1.53"
"201415","Local authority","Doncaster","Total","124","47447","0","0","3647","7.69","1292","2.72"
"201415","Local authority","Doncaster","Primary","100","28239","0","0","386","1.37","176","0.62"
"201415","Local authority","Doncaster","Secondary","18","18664","0","0","3220","17.25","1093","5.86"
"201415","Local authority","Doncaster","Special","6","544","0","0","41","7.54","23","4.23"
"201415","Local authority","Rotherham","Total","115","43407","42","0.1","4008","9.23","1445","3.33"
"201415","Local authority","Rotherham","Primary","93","24437","5","0.02","401","1.64","189","0.77"
"201415","Local authority","Rotherham","Secondary","16","18424","37","0.2","3539","19.21","1238","6.72"
"201415","Local authority","Rotherham","Special","6","546","0","0","68","12.45","18","3.3"
"201415","Local authority","Sheffield","Total","173","77193","103","0.13","4673","6.05","2171","2.81"
"201415","Local authority","Sheffield","Primary","136","46274","9","0.02","783","1.69","377","0.81"
"201415","Local authority","Sheffield","Secondary","27","29899","94","0.31","3875","12.96","1783","5.96"
"201415","Local authority","Sheffield","Special","10","1020","0","0","15","1.47","11","1.08"
"201415","Local authority","Bradford","Total","198","97445","12","0.01","2948","3.03","1826","1.87"
"201415","Local authority","Bradford","Primary","157","58910","4","0.01","458","0.78","241","0.41"
"201415","Local authority","Bradford","Secondary","33","37587","8","0.02","2466","6.56","1567","4.17"
"201415","Local authority","Bradford","Special","8","948","0","0","24","2.53","18","1.9"
"201415","Local authority","Calderdale","Total","102","36143","33","0.09","1062","2.94","590","1.63"
"201415","Local authority","Calderdale","Primary","84","20155","4","0.02","215","1.07","102","0.51"
"201415","Local authority","Calderdale","Secondary","14","15652","29","0.19","839","5.36","481","3.07"
"201415","Local authority","Calderdale","Special","4","336","0","0","8","2.38","7","2.08"
"201415","Local authority","Kirklees","Total","181","65582","30","0.05","2965","4.52","1228","1.87"
"201415","Local authority","Kirklees","Primary","146","39534","12","0.03","535","1.35","201","0.51"
"201415","Local authority","Kirklees","Secondary","28","25356","18","0.07","2369","9.34","998","3.94"
"201415","Local authority","Kirklees","Special","7","692","0","0","61","8.82","29","4.19"
"201415","Local authority","Leeds","Total","269","115529","28","0.02","5584","4.83","2352","2.04"
"201415","Local authority","Leeds","Primary","221","70040","x","x","324","0.46","182","0.26"
"201415","Local authority","Leeds","Secondary","40","44398","25","0.06","4796","10.8","2083","4.69"
"201415","Local authority","Leeds","Special","8","1091","x","x","464","42.53","87","7.97"
"201415","Local authority","Wakefield","Total","137","50739","52","0.1","3173","6.25","1191","2.35"
"201415","Local authority","Wakefield","Primary","114","30837","x","x","438","1.42","179","0.58"
"201415","Local authority","Wakefield","Secondary","18","19490","51","0.26","2631","13.5","978","5.02"
"201415","Local authority","Wakefield","Special","5","412","0","0","104","25.24","34","8.25"
"201415","Local authority","Gateshead","Total","83","28341","56","0.2","667","2.35","416","1.47"
"201415","Local authority","Gateshead","Primary","67","16046","x","x","62","0.39","33","0.21"
"201415","Local authority","Gateshead","Secondary","10","11803","54","0.46","580","4.91","365","3.09"
"201415","Local authority","Gateshead","Special","6","492","0","0","25","5.08","18","3.66"
"201415","Local authority","Newcastle upon Tyne","Total","93","37633","7","0.02","1238","3.29","739","1.96"
"201415","Local authority","Newcastle upon Tyne","Primary","72","21314","x","x","117","0.55","64","0.3"
"201415","Local authority","Newcastle upon Tyne","Secondary","15","15607","5","0.03","1070","6.86","646","4.14"
"201415","Local authority","Newcastle upon Tyne","Special","6","712","x","x","51","7.16","29","4.07"
"201415","Local authority","North Tyneside","Total","77","30303","13","0.04","551","1.82","360","1.19"
"201415","Local authority","North Tyneside","Primary","55","16521","0","0","45","0.27","30","0.18"
"201415","Local authority","North Tyneside","Secondary","16","13097","13","0.1","499","3.81","324","2.47"
"201415","Local authority","North Tyneside","Special","6","685","0","0","7","1.02","6","0.88"
"201415","Local authority","South Tyneside","Total","58","21060","21","0.1","282","1.34","180","0.85"
"201415","Local authority","South Tyneside","Primary","45","12378","x","x","23","0.19","10","0.08"
"201415","Local authority","South Tyneside","Secondary","9","8236","19","0.23","242","2.94","162","1.97"
"201415","Local authority","South Tyneside","Special","4","446","0","0","17","3.81","8","1.79"
"201415","Local authority","Sunderland","Total","106","40113","31","0.08","829","2.07","505","1.26"
"201415","Local authority","Sunderland","Primary","81","23791","10","0.04","200","0.84","105","0.44"
"201415","Local authority","Sunderland","Secondary","18","15652","21","0.13","578","3.69","376","2.4"
"201415","Local authority","Sunderland","Special","7","670","0","0","51","7.61","24","3.58"
"201415","Local authority","Isles Of Scilly","Total","1","274","0","0","0","0","0","0"
"201415","Local authority","Isles Of Scilly","Secondary","1","274","0","0","0","0","0","0"
"201415","Local authority","Bath and North East Somerset","Total","79","25501","11","0.04","962","3.77","510","2"
"201415","Local authority","Bath and North East Somerset","Primary","62","12837","3","0.02","111","0.86","45","0.35"
"201415","Local authority","Bath and North East Somerset","Secondary","14","12257","7","0.06","682","5.56","418","3.41"
"201415","Local authority","Bath and North East Somerset","Special","3","407","x","x","169","41.52","47","11.55"
"201415","Local authority","Bristol City of","Total","136","54397","62","0.11","3274","6.02","1506","2.77"
"201415","Local authority","Bristol City of","Primary","104","34112","0","0","702","2.06","322","0.94"
"201415","Local authority","Bristol City of","Secondary","23","19547","61","0.31","2347","12.01","1091","5.58"
"201415","Local authority","Bristol City of","Special","9","738","x","x","225","30.49","93","12.6"
"201415","Local authority","North Somerset","Total","75","29100","39","0.13","749","2.57","431","1.48"
"201415","Local authority","North Somerset","Primary","61","16444","12","0.07","62","0.38","38","0.23"
"201415","Local authority","North Somerset","Secondary","11","12393","27","0.22","684","5.52","390","3.15"
"201415","Local authority","North Somerset","Special","3","263","0","0","3","1.14","3","1.14"
"201415","Local authority","South Gloucestershire","Total","113","38972","26","0.07","1388","3.56","682","1.75"
"201415","Local authority","South Gloucestershire","Primary","91","22155","x","x","135","0.61","72","0.32"
"201415","Local authority","South Gloucestershire","Secondary","18","16429","25","0.15","1137","6.92","583","3.55"
"201415","Local authority","South Gloucestershire","Special","4","388","0","0","116","29.9","27","6.96"
"201415","Local authority","Hartlepool","Total","38","15083","3","0.02","375","2.49","189","1.25"
"201415","Local authority","Hartlepool","Primary","30","9398","0","0","20","0.21","9","0.1"
"201415","Local authority","Hartlepool","Secondary","6","5492","3","0.05","348","6.34","174","3.17"
"201415","Local authority","Hartlepool","Special","2","193","0","0","7","3.63","6","3.11"
"201415","Local authority","Middlesbrough","Total","52","23036","40","0.17","3429","14.89","963","4.18"
"201415","Local authority","Middlesbrough","Primary","41","14940","3","0.02","79","0.53","42","0.28"
"201415","Local authority","Middlesbrough","Secondary","7","7618","33","0.43","3227","42.36","877","11.51"
"201415","Local authority","Middlesbrough","Special","4","478","4","0.84","123","25.73","44","9.21"
"201415","Local authority","Redcar and Cleveland","Total","58","21552","0","0","963","4.47","513","2.38"
"201415","Local authority","Redcar and Cleveland","Primary","44","12945","0","0","73","0.56","37","0.29"
"201415","Local authority","Redcar and Cleveland","Secondary","11","8263","0","0","890","10.77","476","5.76"
"201415","Local authority","Redcar and Cleveland","Special","3","344","0","0","0","0","0","0"
"201415","Local authority","Stockton-on-Tees","Total","77","30055","15","0.05","791","2.63","462","1.54"
"201415","Local authority","Stockton-on-Tees","Primary","59","19117","0","0","91","0.48","48","0.25"
"201415","Local authority","Stockton-on-Tees","Secondary","14","10398","15","0.14","681","6.55","398","3.83"
"201415","Local authority","Stockton-on-Tees","Special","4","540","0","0","19","3.52","16","2.96"
"201415","Local authority","Kingston upon Hull City of","Total","90","37255","21","0.06","964","2.59","516","1.39"
"201415","Local authority","Kingston upon Hull City of","Primary","71","24381","6","0.02","261","1.07","128","0.52"
"201415","Local authority","Kingston upon Hull City of","Secondary","13","12305","13","0.11","579","4.71","344","2.8"
"201415","Local authority","Kingston upon Hull City of","Special","6","569","x","x","124","21.79","44","7.73"
"201415","Local authority","East Riding of Yorkshire","Total","146","45725","17","0.04","1253","2.74","591","1.29"
"201415","Local authority","East Riding of Yorkshire","Primary","124","25564","6","0.02","205","0.8","93","0.36"
"201415","Local authority","East Riding of Yorkshire","Secondary","19","19865","11","0.06","1048","5.28","498","2.51"
"201415","Local authority","East Riding of Yorkshire","Special","3","296","0","0","0","0","0","0"
"201415","Local authority","North East Lincolnshire","Total","59","23393","41","0.18","1082","4.63","566","2.42"
"201415","Local authority","North East Lincolnshire","Primary","47","14318","3","0.02","161","1.12","81","0.57"
"201415","Local authority","North East Lincolnshire","Secondary","10","8779","38","0.43","917","10.45","481","5.48"
