"year","level","la_name","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"201617","Local authority","Lewisham","Total","84","40966","64","0.16","1832","4.47","1167","2.85"
"201617","Local authority","Lewisham","Primary","65","25608","0","0","232","0.91","136","0.53"
"201617","Local authority","Lewisham","Secondary","14","14789","63","0.43","1436","9.71","954","6.45"
"201617","Local authority","Lewisham","Special","5","569","x","x","164","28.82","77","13.53"
"201617","Local authority","Southwark","Total","99","41443","38","0.09","1593","3.84","993","2.4"
"201617","Local authority","Southwark","Primary","73","25263","x","x","367","1.45","211","0.84"
"201617","Local authority","Southwark","Secondary","19","15689","36","0.23","1139","7.26","753","4.8"
"201617","Local authority","Southwark","Special","7","491","0","0","87","17.72","29","5.91"
"201617","Local authority","Tower Hamlets","Total","95","43520","9","0.02","1066","2.45","715","1.64"
"201617","Local authority","Tower Hamlets","Primary","70","26073","x","x","101","0.39","64","0.25"
"201617","Local authority","Tower Hamlets","Secondary","19","16949","8","0.05","895","5.28","619","3.65"
"201617","Local authority","Tower Hamlets","Special","6","498","0","0","70","14.06","32","6.43"
"201617","Local authority","Wandsworth","Total","79","33240","30","0.09","876","2.64","555","1.67"
"201617","Local authority","Wandsworth","Primary","61","20792","x","x","188","0.9","109","0.52"
"201617","Local authority","Wandsworth","Secondary","11","11680","28","0.24","608","5.21","416","3.56"
"201617","Local authority","Wandsworth","Special","7","768","0","0","80","10.42","30","3.91"
"201617","Local authority","Westminster","Total","56","22514","8","0.04","1158","5.14","658","2.92"
"201617","Local authority","Westminster","Primary","41","10958","x","x","57","0.52","35","0.32"
"201617","Local authority","Westminster","Secondary","12","11341","6","0.05","1083","9.55","616","5.43"
"201617","Local authority","Westminster","Special","3","215","0","0","18","8.37","7","3.26"
"201617","Local authority","Barking and Dagenham","Total","60","42636","29","0.07","798","1.87","493","1.16"
"201617","Local authority","Barking and Dagenham","Primary","45","27058","x","x","227","0.84","123","0.45"
"201617","Local authority","Barking and Dagenham","Secondary","13","15232","28","0.18","571","3.75","370","2.43"
"201617","Local authority","Barking and Dagenham","Special","2","346","0","0","0","0","0","0"
"201617","Local authority","Barnet","Total","121","57032","44","0.08","1825","3.2","1148","2.01"
"201617","Local authority","Barnet","Primary","90","31613","0","0","99","0.31","56","0.18"
"201617","Local authority","Barnet","Secondary","26","24954","44","0.18","1711","6.86","1084","4.34"
"201617","Local authority","Barnet","Special","5","465","0","0","15","3.23","8","1.72"
"201617","Local authority","Bexley","Total","79","44127","34","0.08","2229","5.05","1144","2.59"
"201617","Local authority","Bexley","Primary","58","22950","9","0.04","285","1.24","138","0.6"
"201617","Local authority","Bexley","Secondary","16","20685","24","0.12","1689","8.17","927","4.48"
"201617","Local authority","Bexley","Special","5","492","x","x","255","51.83","79","16.06"
"201617","Local authority","Brent","Total","78","48082","36","0.07","1765","3.67","1082","2.25"
"201617","Local authority","Brent","Primary","59","27877","3","0.01","180","0.65","99","0.36"
"201617","Local authority","Brent","Secondary","15","19557","33","0.17","1571","8.03","975","4.99"
"201617","Local authority","Brent","Special","4","648","0","0","14","2.16","8","1.23"
"201617","Local authority","Bromley","Total","99","49792","66","0.13","1268","2.55","756","1.52"
"201617","Local authority","Bromley","Primary","78","27295","15","0.05","249","0.91","129","0.47"
"201617","Local authority","Bromley","Secondary","17","21899","51","0.23","847","3.87","563","2.57"
"201617","Local authority","Bromley","Special","4","598","0","0","172","28.76","64","10.7"
"201617","Local authority","Croydon","Total","118","57174","40","0.07","2116","3.7","1366","2.39"
"201617","Local authority","Croydon","Primary","88","34149","12","0.04","402","1.18","205","0.6"
"201617","Local authority","Croydon","Secondary","24","22206","28","0.13","1689","7.61","1142","5.14"
"201617","Local authority","Croydon","Special","6","819","0","0","25","3.05","19","2.32"
"201617","Local authority","Ealing","Total","89","53576","78","0.15","1666","3.11","1019","1.9"
"201617","Local authority","Ealing","Primary","68","33685","x","x","291","0.86","135","0.4"
"201617","Local authority","Ealing","Secondary","15","19165","77","0.4","1375","7.17","884","4.61"
"201617","Local authority","Ealing","Special","6","726","0","0","0","0","0","0"
"201617","Local authority","Enfield","Total","94","57938","48","0.08","2951","5.09","1743","3.01"
"201617","Local authority","Enfield","Primary","67","34191","x","x","354","1.04","196","0.57"
"201617","Local authority","Enfield","Secondary","21","23118","46","0.2","2471","10.69","1522","6.58"
"201617","Local authority","Enfield","Special","6","629","0","0","126","20.03","25","3.97"
"201617","Local authority","Haringey","Total","83","37597","33","0.09","1354","3.6","881","2.34"
"201617","Local authority","Haringey","Primary","64","23735","4","0.02","125","0.53","76","0.32"
"201617","Local authority","Haringey","Secondary","14","13377","29","0.22","1226","9.16","803","6"
"201617","Local authority","Haringey","Special","5","485","0","0","3","0.62","x","x"
"201617","Local authority","Harrow","Total","58","35787","33","0.09","804","2.25","530","1.48"
"201617","Local authority","Harrow","Primary","41","21614","x","x","98","0.45","58","0.27"
"201617","Local authority","Harrow","Secondary","13","13732","32","0.23","705","5.13","471","3.43"
"201617","Local authority","Harrow","Special","4","441","0","0","x","x","x","x"
"201617","Local authority","Havering","Total","82","38748","44","0.11","1432","3.7","879","2.27"
