"year","la_name","school_type","perm_physical_pupils","perm_physical_adult","perm_verbal_pupil","perm_verbal_adult","perm_bullying","perm_racist_abuse","perm_sexual_misconduct","perm_drug_alcohol","perm_damage","perm_theft","perm_persistent_disruptive","perm_other","fixed_physical_pupils","fixed_physical_adult","fixed_verbal_pupil","fixed_verbal_adult","fixed_bullying","fixed_racist_abuse","fixed_sexual_misconduct","fixed_drug_alcohol","fixed_damage","fixed_theft","fixed_persistent_disruptive","fixed_other"
"201617","Tower Hamlets","Special","0","0","0","0","0","0","0","0","0","0","0","0","7","25","4","10","x","x","x","3","6","x","7","3"
"201617","Wandsworth","Total","x","x","x","x","0","0","0","4","0","0","15","5","182","87","50","93","13","x","7","14","21","25","192","190"
"201617","Wandsworth","State-funded primary","0","x","0","0","0","0","0","0","0","0","x","0","40","58","15","15","6","x","0","x","4","x","38","8"
"201617","Wandsworth","State-funded secondary","x","0","x","x","0","0","0","4","0","0","14","5","127","13","28","72","7","x","6","13","13","22","154","152"
"201617","Wandsworth","Special","0","0","0","0","0","0","0","0","0","0","0","0","15","16","7","6","0","0","x","0","4","x","0","30"
"201617","Westminster","Total","0","x","0","0","0","0","0","x","0","0","4","x","163","25","68","81","20","3","3","14","x","20","147","612"
"201617","Westminster","State-funded primary","0","0","0","0","0","0","0","0","0","0","x","x","21","10","3","5","0","0","0","0","0","0","12","6"
"201617","Westminster","State-funded secondary","0","x","0","0","0","0","0","x","0","0","3","x","142","13","64","75","20","3","3","14","x","20","121","606"
"201617","Westminster","Special","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","0","0","0","0","0","0","14","0"
"201617","Barking and Dagenham","Total","3","x","x","x","0","0","x","x","0","0","11","7","165","104","30","120","12","9","9","3","23","19","243","61"
"201617","Barking and Dagenham","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","x","46","72","6","28","4","x","0","0","6","0","59","4"
"201617","Barking and Dagenham","State-funded secondary","3","x","x","x","0","0","x","x","0","0","11","6","119","32","24","92","8","7","9","3","17","19","184","57"
"201617","Barnet","Total","13","0","3","x","x","0","x","x","x","x","10","11","377","71","107","190","39","54","26","61","36","65","281","518"
"201617","Barnet","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","19","32","x","9","0","x","x","0","4","0","23","7"
"201617","Barnet","State-funded secondary","13","0","3","x","x","0","x","x","x","x","10","11","355","36","105","181","39","52","24","61","29","65","254","510"
"201617","Barnet","Special","0","0","0","0","0","0","0","0","0","0","0","0","3","3","x","0","0","0","0","0","3","0","4","x"
"201617","Bexley","Total","x","11","x","3","0","0","0","4","0","0","6","7","444","221","105","398","24","56","31","50","33","34","413","420"
"201617","Bexley","State-funded primary","0","8","0","0","0","0","0","0","0","0","0","x","94","82","10","23","3","x","x","0","11","0","32","27"
"201617","Bexley","State-funded secondary","x","x","x","3","0","0","0","4","0","0","6","6","299","31","91","350","12","43","27","50","15","34","363","374"
"201617","Bexley","Special","0","x","0","0","0","0","0","0","0","0","0","0","51","108","4","25","9","12","x","0","7","0","18","19"
"201617","Brent","Total","9","x","x","x","x","0","0","x","x","x","12","6","380","91","116","239","48","27","16","14","29","39","316","450"
"201617","Brent","State-funded primary","x","x","0","x","0","0","0","0","0","0","0","0","47","57","7","9","7","3","x","0","8","x","31","9"
"201617","Brent","State-funded secondary","8","0","x","x","x","0","0","x","x","x","12","6","331","25","109","228","41","24","15","14","20","38","285","441"
"201617","Brent","Special","0","0","0","0","0","0","0","0","0","0","0","0","x","9","0","x","0","0","0","0","x","0","0","0"
"201617","Bromley","Total","7","3","5","3","0","0","0","x","x","0","30","15","174","113","111","164","31","27","x","28","25","19","239","336"
"201617","Bromley","State-funded primary","x","x","0","0","0","0","0","0","0","0","12","0","38","61","6","17","4","x","0","0","x","x","96","21"
"201617","Bromley","State-funded secondary","6","x","5","3","0","0","0","x","x","0","18","15","122","x","100","100","26","17","x","26","16","15","131","291"
"201617","Bromley","Special","0","0","0","0","0","0","0","0","0","0","0","0","14","50","5","47","x","8","0","x","7","x","12","24"
"201617","Croydon","Total","4","5","0","x","x","x","5","5","x","0","10","7","493","208","129","238","29","19","39","72","43","49","477","320"
"201617","Croydon","State-funded primary","x","x","0","x","x","0","3","0","x","0","x","x","83","139","19","30","3","x","11","0","9","x","94","11"
"201617","Croydon","State-funded secondary","3","3","0","0","0","x","x","5","0","0","9","5","407","53","109","206","26","17","28","72","34","47","381","309"
"201617","Croydon","Special","0","0","0","0","0","0","0","0","0","0","0","0","3","16","x","x","0","x","0","0","0","0","x","0"
"201617","Ealing","Total","16","x","4","8","0","0","5","7","x","4","17","15","367","87","86","168","39","30","24","43","18","40","409","355"
"201617","Ealing","State-funded primary","0","0","0","0","0","0","0","0","0","0","x","0","55","67","9","14","6","3","0","0","5","x","118","12"
"201617","Ealing","State-funded secondary","16","x","4","8","0","0","5","7","x","4","16","15","312","20","77","154","33","27","24","43","13","38","291","343"
"201617","Enfield","Total","5","3","x","x","0","0","x","x","x","3","20","10","709","213","160","381","73","26","44","49","89","58","671","478"
"201617","Enfield","State-funded primary","0","0","0","x","0","0","0","0","0","0","x","0","78","99","17","34","0","x","x","0","13","3","88","19"
"201617","Enfield","State-funded secondary","5","3","x","0","0","0","x","x","x","3","19","10","622","57","142","341","73","24","42","49","75","55","537","454"
"201617","Enfield","Special","0","0","0","0","0","0","0","0","0","0","0","0","9","57","x","6","0","0","x","0","x","0","46","5"
"201617","Haringey","Total","9","3","x","0","0","0","0","6","0","0","7","7","336","38","79","150","64","16","20","15","24","37","231","344"
"201617","Haringey","State-funded primary","x","x","x","0","0","0","0","0","0","0","x","0","28","22","3","6","x","x","x","0","4","3","45","11"
"201617","Haringey","State-funded secondary","8","x","0","0","0","0","0","6","0","0","6","7","306","16","76","143","63","15","19","15","20","34","186","333"
"201617","Haringey","Special","0","0","0","0","0","0","0","0","0","0","0","0","x","0","0","x","0","0","0","0","0","0","0","0"
"201617","Harrow","Total","0","3","x","3","0","0","x","3","x","0","6","15","191","31","47","69","15","8","9","27","16","20","95","276"
"201617","Harrow","State-funded primary","0","0","0","0","0","0","0","0","0","0","x","0","30","17","4","5","0","0","0","0","x","0","24","16"
"201617","Harrow","State-funded secondary","0","3","x","3","0","0","x","3","x","0","5","15","161","14","42","64","15","8","9","27","14","20","71","260"
"201617","Harrow","Special","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","0","0","0","0","0","0","0","0","0"
"201617","Havering","Total","4","3","4","3","0","0","6","x","0","x","12","10","248","58","86","192","32","17","9","26","25","28","246","465"
"201617","Havering","State-funded primary","0","0","0","0","0","0","0","0","0","0","x","x","32","40","5","12","4","0","x","0","x","0","61","12"
"201617","Havering","State-funded secondary","4","3","4","3","0","0","6","x","0","x","11","9","216","18","81","180","28","17","8","26","22","28","184","453"
"201617","Havering","Special","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","0","x","0"
"201617","Hillingdon","Total","9","5","x","4","x","0","3","x","0","0","14","15","348","53","84","287","28","18","17","30","23","26","392","438"
"201617","Hillingdon","State-funded primary","0","x","0","x","0","0","0","0","0","0","x","0","48","27","9","20","3","x","0","0","4","x","32","31"
"201617","Hillingdon","State-funded secondary","9","3","x","x","x","0","3","x","0","0","12","15","300","24","74","266","25","17","17","30","18","24","360","404"
"201617","Hillingdon","Special","0","0","0","x","0","0","0","0","0","0","0","0","0","x","x","x","0","0","0","0","x","0","0","3"
"201617","Hounslow","Total","8","3","0","0","0","0","3","4","0","x","8","15","323","55","91","225","23","20","33","35","26","50","326","465"
"201617","Hounslow","State-funded primary","x","x","0","0","0","0","0","0","0","0","x","0","38","27","7","8","x","x","x","0","x","0","34","4"
"201617","Hounslow","State-funded secondary","7","x","0","0","0","0","3","4","0","x","6","14","281","11","83","199","21","18","32","35","25","50","290","461"
"201617","Hounslow","Special","0","0","0","0","0","0","0","0","0","0","0","x","4","17","x","18","x","0","0","0","0","0","x","0"
"201617","Kingston upon Thames","Total","6","x","x","x","0","0","0","x","0","0","x","3","100","15","23","57","13","5","0","9","8","9","69","72"
"201617","Kingston upon Thames","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","5","9","0","3","x","0","0","0","x","0","22","x"
"201617","Kingston upon Thames","State-funded secondary","6","x","x","x","0","0","0","x","0","0","x","3","93","6","23","54","12","5","0","9","7","9","46","70"
"201617","Kingston upon Thames","Special","0","0","0","0","0","0","0","0","0","0","0","0","x","0","0","0","0","0","0","0","0","0","x","0"
"201617","Merton","Total","x","x","4","x","0","0","x","x","x","0","3","0","207","87","62","97","20","14","9","53","43","29","248","79"
"201617","Merton","State-funded primary","0","0","0","0","0","0","x","0","0","0","0","0","57","68","8","12","4","x","x","0","3","x","24","10"
"201617","Merton","State-funded secondary","x","x","4","x","0","0","0","x","x","0","3","0","141","12","53","82","14","6","7","51","37","28","194","68"
"201617","Merton","Special","0","0","0","0","0","0","0","0","0","0","0","0","9","7","x","3","x","7","0","x","3","0","30","x"
"201617","Newham","Total","10","x","x","4","0","0","x","x","0","x","14","11","471","193","117","311","53","25","49","23","44","38","400","462"
"201617","Newham","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","26","41","10","19","3","x","0","0","x","x","41","34"
"201617","Newham","State-funded secondary","10","x","x","4","0","0","x","x","0","x","14","10","373","59","98","264","40","14","49","22","31","36","292","418"
"201617","Newham","Special","0","0","0","0","0","0","0","0","0","0","0","x","72","93","9","28","10","10","0","x","12","x","67","10"
"201617","Redbridge","Total","9","0","x","x","0","0","x","3","3","4","9","9","355","100","101","197","28","16","13","94","49","54","237","333"
"201617","Redbridge","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","41","52","9","19","x","0","x","0","3","x","30","10"
"201617","Redbridge","State-funded secondary","9","0","x","x","0","0","x","3","3","4","9","9","297","23","90","160","26","13","12","94","32","52","119","321"
"201617","Redbridge","Special","0","0","0","0","0","0","0","0","0","0","0","0","17","25","x","18","x","3","0","0","14","0","88","x"
"201617","Richmond upon Thames","Total","5","0","x","0","0","0","0","x","0","0","4","0","137","23","39","143","14","6","8","44","19","22","163","89"
"201617","Richmond upon Thames","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","11","x","3","6","0","x","0","0","0","x","20","x"
"201617","Richmond upon Thames","State-funded secondary","5","0","x","0","0","0","0","x","0","0","4","0","123","15","36","123","14","5","8","44","19","21","142","84"
"201617","Richmond upon Thames","Special","0","0","0","0","0","0","0","0","0","0","0","0","3","6","0","14","0","0","0","0","0","0","x","3"
"201617","Sutton","Total","x","3","0","0","0","0","0","x","0","0","4","11","239","116","48","144","17","18","5","20","39","20","171","389"
"201617","Sutton","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","37","61","8","16","5","x","x","0","9","0","70","28"
"201617","Sutton","State-funded secondary","x","0","0","0","0","0","0","x","0","0","4","11","181","6","35","116","5","10","4","19","15","20","83","306"
"201617","Sutton","Special","0","3","0","0","0","0","0","0","0","0","0","0","21","49","5","12","7","6","0","x","15","0","18","55"
"201617","Waltham Forest","Total","5","4","x","3","0","0","0","x","0","0","x","3","491","101","127","211","25","18","23","32","26","26","359","325"
"201617","Waltham Forest","State-funded primary","x","0","0","0","0","0","0","0","0","0","0","0","73","52","15","16","x","x","3","0","4","4","30","33"
"201617","Waltham Forest","State-funded secondary","4","4","x","3","0","0","0","x","0","0","x","3","385","28","109","192","22","16","20","31","13","22","321","286"
"201617","Waltham Forest","Special","0","0","0","0","0","0","0","0","0","0","0","0","33","21","3","3","x","0","0","x","9","0","8","6"
"201617","Birmingham","Total","35","40","26","20","0","0","3","5","5","0","88","34","2097","673","415","1117","164","123","69","178","198","148","1705","1616"
"201617","Birmingham","State-funded primary","15","28","6","4","0","0","x","0","3","0","32","7","545","380","113","185","34","28","8","4","48","18","530","379"
"201617","Birmingham","State-funded secondary","20","11","19","13","0","0","x","5","x","0","55","26","1469","167","279","880","127","92","59","166","130","129","1117","1182"
"201617","Birmingham","Special","0","x","x","3","0","0","x","0","0","0","x","x","83","126","23","52","3","3","x","8","20","x","58","55"
"201617","Coventry","Total","10","6","x","7","0","0","0","4","x","0","21","12","579","214","96","430","17","27","11","68","93","20","766","657"
"201617","Coventry","State-funded primary","x","5","0","x","0","0","0","0","x","0","9","3","125","154","26","55","4","4","0","0","25","0","182","43"
"201617","Coventry","State-funded secondary","8","x","x","5","0","0","0","4","0","0","12","9","445","56","69","371","13","23","10","67","65","20","578","612"
"201617","Coventry","Special","0","0","0","0","0","0","0","0","0","0","0","0","9","4","x","4","0","0","x","x","3","0","6","x"
"201617","Dudley","Total","13","21","4","6","x","0","x","4","0","0","55","12","465","172","78","443","34","41","20","41","60","25","566","361"
"201617","Dudley","State-funded primary","x","12","x","0","0","0","0","0","0","0","10","0","83","107","21","44","9","x","5","0","7","5","133","20"
"201617","Dudley","State-funded secondary","11","7","3","6","0","0","x","4","0","0","45","12","367","43","55","376","25","32","15","40","42","19","424","327"
"201617","Dudley","Special","0","x","0","0","x","0","0","0","0","0","0","0","15","22","x","23","0","7","0","x","11","x","9","14"
"201617","Sandwell","Total","8","7","6","x","0","0","0","4","x","x","36","10","476","195","111","382","19","28","20","63","40","36","798","397"
"201617","Sandwell","State-funded primary","x","5","0","x","0","0","0","0","0","0","x","0","97","133","27","30","5","x","5","0","11","x","117","38"
"201617","Sandwell","State-funded secondary","7","x","6","x","0","0","0","4","x","x","35","10","370","40","81","352","13","26","15","60","28","35","679","354"
"201617","Sandwell","Special","0","0","0","0","0","0","0","0","0","0","0","0","9","22","3","0","x","x","0","3","x","0","x","5"
"201617","Solihull","Total","8","3","x","5","0","0","0","x","0","0","41","6","351","87","56","264","13","20","5","21","27","15","688","189"
"201617","Solihull","State-funded primary","0","x","0","0","0","0","0","0","0","0","x","x","63","44","11","46","0","x","x","x","4","x","85","12"
"201617","Solihull","State-funded secondary","8","x","x","5","0","0","0","x","0","0","40","5","275","20","45","218","13","18","3","20","22","14","603","167"
"201617","Solihull","Special","0","0","0","0","0","0","0","0","0","0","0","0","13","23","0","0","0","0","0","0","x","0","0","10"
"201617","Walsall","Total","7","9","x","x","0","x","0","6","0","0","39","4","377","157","107","263","23","40","15","33","37","31","960","59"
"201617","Walsall","State-funded primary","5","6","0","x","0","x","0","0","0","0","5","x","149","97","27","49","7","10","3","0","4","x","120","14"
"201617","Walsall","State-funded secondary","x","x","x","0","0","0","0","6","0","0","34","x","211","33","79","213","12","28","11","33","29","30","805","45"
"201617","Walsall","Special","0","x","0","0","0","0","0","0","0","0","0","0","17","27","x","x","4","x","x","0","4","0","35","0"
"201617","Wolverhampton","Total","12","10","x","7","0","0","x","x","x","0","27","19","332","103","81","247","34","27","17","35","40","15","410","411"
"201617","Wolverhampton","State-funded primary","4","5","0","x","0","0","0","0","0","0","7","0","46","48","10","10","0","x","0","0","3","0","66","7"
"201617","Wolverhampton","State-funded secondary","8","4","x","4","0","0","x","x","0","0","20","17","256","24","64","226","20","21","17","35","30","13","336","358"
"201617","Wolverhampton","Special","0","x","0","x","0","0","0","0","x","0","0","x","30","31","7","11","14","4","0","0","7","x","8","46"
"201617","Knowsley","Total","x","x","x","x","0","0","0","x","0","0","4","0","203","41","24","227","x","8","x","20","21","x","221","392"
"201617","Knowsley","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","26","15","x","7","0","3","0","0","0","0","29","x"
"201617","Knowsley","State-funded secondary","x","x","x","x","0","0","0","x","0","0","4","0","172","13","23","214","x","4","x","20","21","x","189","382"
"201617","Knowsley","Special","0","0","0","0","0","0","0","0","0","0","0","0","5","13","0","6","0","x","0","0","0","0","3","9"
"201617","Liverpool","Total","20","10","4","11","x","0","x","11","6","0","54","37","575","167","119","405","42","57","6","74","66","17","442","899"
"201617","Liverpool","State-funded primary","4","7","0","x","x","0","0","0","0","0","23","9","97","65","26","47","7","5","x","0","10","x","139","58"
"201617","Liverpool","State-funded secondary","16","3","4","9","0","0","x","11","6","0","31","28","466","29","89","329","33","41","5","70","40","16","291","817"
"201617","Liverpool","Special","0","0","0","0","0","0","0","0","0","0","0","0","12","73","4","29","x","11","0","4","16","0","12","24"
"201617","St. Helens","Total","x","x","0","0","0","0","0","0","0","0","0","0","174","101","73","319","9","25","x","33","26","6","415","401"
"201617","St. Helens","State-funded primary","0","x","0","0","0","0","0","0","0","0","0","0","29","51","7","27","x","x","0","0","3","x","62","25"
"201617","St. Helens","State-funded secondary","x","0","0","0","0","0","0","0","0","0","0","0","130","21","65","286","7","23","0","31","20","4","334","372"
"201617","St. Helens","Special","0","0","0","0","0","0","0","0","0","0","0","0","15","29","x","6","0","0","x","x","3","0","19","4"
"201617","Sefton","Total","3","0","x","3","0","0","0","4","0","0","6","22","136","73","53","189","14","15","x","11","15","14","204","418"
"201617","Sefton","State-funded primary","0","0","0","0","0","0","0","0","0","0","x","0","36","44","6","24","0","0","0","0","x","x","67","7"
"201617","Sefton","State-funded secondary","3","0","x","3","0","0","0","4","0","0","4","22","90","7","47","158","14","14","0","11","12","10","116","410"
"201617","Sefton","Special","0","0","0","0","0","0","0","0","0","0","0","0","10","22","0","7","0","x","x","0","x","3","21","x"
"201617","Wirral","Total","7","0","3","8","0","x","0","9","x","0","19","12","396","143","93","348","19","61","11","65","77","27","555","658"
"201617","Wirral","State-funded primary","0","0","x","0","0","0","0","0","0","0","0","0","51","71","21","33","3","3","0","0","8","0","94","25"
"201617","Wirral","State-funded secondary","7","0","x","8","0","x","0","9","x","0","19","12","318","15","69","297","15","56","10","62","43","26","396","606"
"201617","Wirral","Special","0","0","0","0","0","0","0","0","0","0","0","0","27","57","3","18","x","x","x","3","26","x","65","27"
"201617","Bolton","Total","10","9","x","9","x","0","x","6","0","x","27","11","415","217","84","595","24","42","20","92","56","24","782","466"
"201617","Bolton","State-funded primary","x","4","0","x","x","0","x","0","0","0","4","x","129","121","13","39","10","4","4","0","6","x","175","38"
"201617","Bolton","State-funded secondary","8","5","x","8","0","0","0","6","0","x","23","10","273","47","68","545","14","37","15","83","43","23","585","426"
"201617","Bolton","Special","x","0","0","0","0","0","0","0","0","0","0","0","13","49","3","11","0","x","x","9","7","0","22","x"
"201617","Bury","Total","16","8","x","8","0","0","x","6","x","x","33","7","275","55","88","426","20","20","14","54","38","30","469","239"
"201617","Bury","State-funded primary","x","x","x","0","0","0","0","0","0","0","3","0","25","28","16","15","0","x","0","0","4","x","53","4"
"201617","Bury","State-funded secondary","14","6","x","8","0","0","x","6","x","x","30","7","250","27","72","408","20","18","14","54","34","29","416","235"
"201617","Bury","Special","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"201617","Manchester","Total","12","5","6","13","0","0","0","5","0","x","43","19","739","379","235","746","61","59","31","76","91","68","789","1552"
"201617","Manchester","State-funded primary","0","4","0","4","0","0","0","0","0","0","3","0","119","235","23","50","7","0","5","x","19","9","197","63"
"201617","Manchester","State-funded secondary","12","x","6","9","0","0","0","5","0","x","40","19","598","92","209","686","45","56","26","72","53","59","576","1400"
"201617","Manchester","Special","0","0","0","0","0","0","0","0","0","0","0","0","22","52","3","10","9","3","0","x","19","0","16","89"
"201617","Oldham","Total","11","7","x","4","x","0","0","3","0","0","20","5","300","181","83","320","15","24","8","143","52","7","560","165"
"201617","Oldham","State-funded primary","0","x","x","0","0","0","0","0","0","0","3","0","59","105","12","24","5","5","0","x","4","x","93","10"
"201617","Oldham","State-funded secondary","11","6","0","4","x","0","0","3","0","0","17","5","238","61","70","295","10","16","8","141","47","5","462","153"
"201617","Oldham","Special","0","0","0","0","0","0","0","0","0","0","0","0","3","15","x","x","0","3","0","0","x","0","5","x"
"201617","Rochdale","Total","6","8","x","4","0","0","0","3","0","0","37","3","295","156","41","199","22","18","5","50","17","15","367","270"
"201617","Rochdale","State-funded primary","0","3","0","x","0","0","0","x","0","0","x","x","73","60","11","21","12","4","0","0","x","x","51","13"
"201617","Rochdale","State-funded secondary","6","5","x","3","0","0","0","x","0","0","36","x","181","26","24","163","8","13","5","50","13","11","253","242"
"201617","Rochdale","Special","0","0","0","0","0","0","0","0","0","0","0","0","41","70","6","15","x","x","0","0","3","3","63","15"
"201617","Salford","Total","12","4","3","x","x","x","0","8","0","0","29","3","194","114","62","258","11","32","4","37","36","16","549","132"
"201617","Salford","State-funded primary","x","0","x","0","x","x","0","0","0","0","5","0","51","67","13","22","6","3","x","0","6","3","114","13"
"201617","Salford","State-funded secondary","10","4","x","x","0","0","0","8","0","0","24","3","128","21","49","235","5","28","3","30","25","13","431","119"
"201617","Salford","Special","0","0","0","0","0","0","0","0","0","0","0","0","15","26","0","x","0","x","0","7","5","0","4","0"
"201617","Stockport","Total","4","0","x","5","0","0","0","x","0","0","23","8","292","179","86","328","21","20","3","52","34","18","386","265"
"201617","Stockport","State-funded primary","0","0","0","0","0","0","0","0","0","0","x","0","81","144","5","34","x","4","0","0","5","0","120","9"
